,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结,漫画地址
2,藤田和日郎短篇集,藤田和日郎,日本漫画,"冒险,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8062.jpg,藤田和日郎短篇集漫画 ，藤田和日郎短篇集,已完结,http://www.ccdm13.com/manhua/12639/
3,北斗神拳,原哲夫,日本漫画,"格斗,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8061.jpg,北斗神拳漫画 ，漫画描述了在某一年，世界被核武器的烈焰摧毁，大地上的生命几近灭绝。为了争夺生存所需的仅存的一点水和食物，人类又重新卷入被暴力所支配的无序世界。乱世间，有一个传说：胸前有着北斗七星状伤痕的男人会讨伐暴虐之徒，他就是健次郎－－密拳“北斗神拳”的继承者。他行走于荒野之中，为了救出心爱的女人尤利亚，为了解救苦难中的人类，他开始了挑战强者之旅,已完结,http://www.ccdm13.com/manhua/12638/
4,黑猫,矢吹健太朗,日本漫画,"冒险,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8060.jpg,黑猫漫画 ，曾经暗杀过许多重要人物，身为不吉利的象征而称霸黑暗前背叛组织原本应遭处死的人托雷成为伙伴，以奖金猎人的身分再次从世上复活！,已完结,http://www.ccdm13.com/manhua/12637/
5,六三四之剑,村上纪香,日本漫画,"格斗,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8053.jpg,六三四之剑漫画 ，讲述的是在被号称为“森林之都”的岩手县盛岗，父母都是剑道高手的六三四，背负着父母期望，希望成为一流的剑道家，而进行不屈不挠的努力的故事,已完结,http://www.ccdm13.com/manhua/12631/
6,座敷女,望月峰太郎,日本漫画,"恐怖,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8052.jpg,座敷女漫画 ，男大学生森宏志独自一人住在公寓里。一天夜晚，对面房间传来猛烈的敲门声，森看到一个身穿长大衣、提着纸袋、身材高大的长发女人面无表情地在那里敲门、按门铃。第二天夜里女人又出现了，不过这次她按响了森的门铃，她请森帮忙叫对面房间的山本出来，但是森叫门后发现山本根本不在。第三天女人又打电话给森，说要取回遗忘在森房间里的东西，忙着等女友约会的森慌乱之下告诉了女人钥匙所在的地方，结果当晚女人拿着自己配的钥匙打开了森的房门……,已完结,http://www.ccdm13.com/manhua/12630/
7,恋爱印记,时计野はり,日本漫画,"爱情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8051.jpg,"恋爱印记漫画 ，10岁时,温跟著梓爬树,结果从树上摔下来,因此额头上有了一道新月般的伤痕。之後两人分开,可是再次重逢的时候,梓居然变成了忍者…？另收录心跳加速的驱鬼故事「学园七不可思议同学」以及「闪亮亮一番星」。 学园七不可思议同学」以及「闪亮亮一番星」",已完结,http://www.ccdm13.com/manhua/12629/
8,恋爱占卜师,新井清子,日本漫画,"爱情,东方神鬼,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8048.jpg,"恋爱占卜师漫画 ，由于网站上百发百中的精准占卜而在校园掀起话题的神秘风水师——神奇大师,其实就是我——神崎明铃!然而尽管我能利用这股自小萌芽的能力来帮助他人解决恋爱烦恼,自己的感情却一直无法传达给我那铁齿的心上人……",已完结,http://www.ccdm13.com/manhua/12626/
9,凤蝶追捕者,矢上裕,日本漫画,"冒险,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8007.jpg,凤蝶追捕者漫画 ，到底是不是鳳蝶 脫了就知道!! 前戒護官．恭介雖然將背後有蝴蝶刺青的逃獄死刑犯．鳳蝶逼得無路可逃， 但卻因為鳳蝶出乎意料外的善良模樣， 而掩飾不住內心的動搖。 該抓住她還是放過她呢…… 在他還沒找出答案之前， 鳳蝶就已經被其他獎金獵人給逮到……,已完结,http://www.ccdm13.com/manhua/12624/
10,强迫中奖！学生会长,藤曆,日本漫画,"搞笑,后宫,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8005.jpg,"强迫中奖！学生会长漫画 ，第１个、第50个、第77个、然后…第100个…你就是学生会长了 !! 為了得到自由和自我，一路放弃了进入名门高中的机会， 来到了新设立的矢汐学园。 却在第一天上课的途中就遇到懒洋洋的女孩-初瀨， 并且為了帮她而被强迫中奖成為学生会长！ 面对其他也因為莫名的理由而加入学生会的怪怪成员， 一路更加混乱的高中生活就此展开…… 说是混乱,女主角攻略方面完全是一直线毫不拖泥带水啊!",连载中,http://www.ccdm13.com/manhua/12622/
11,轻小说部,平坂读&もずや紫,日本漫画,"校园,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8004.jpg,轻小说部漫画 ，轻小说部是一个社团，这个社团是一个专门研究轻小说的社团！这可不是野村美月笔下的「文学少女」里的文学部，也不是「现视研」之类的影视类动漫社团，而是一个以研究轻小说这种娱乐文学的社团。这部「轻小说部」是曾经获得过第0回MF文库J轻小说新人奖优秀奖的得主平坂读老师创作的一部轻小说作品，被改编成漫画了！富津高中轻小说社，社长是无俚头美少女，底下还有超强腐女子、贱嘴眼镜男、坏心花美男、元气阳光男、安静小女子！这天，天然第一，我行我素，完全不知轻小说为何物的物部文香误打误撞地进到了轻小说社，她会给轻小说社带来什么冲击呢？轻小说界的入门宝典，攻受傲娇猫耳百合全都在这！,连载中,http://www.ccdm13.com/manhua/12621/
12,铁道少女漫画,中村明日美子,日本漫画,"爱情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7996.jpg,铁道少女漫画漫画 ，在电车上行窃成癖的女高中生扒手， 意外被卷入行窃对象的太太与小舅子间的私奔疑云之中！？ 即将出国的少女，在车站痴痴等着意中人…… 被学妹告白的女子棒球队成员， 在车站捡到了刚与情人分手的女性的手机， 这份机缘将会如何演变？ 发生在铁道延线上的各种爱情故事， 令人笑泪交织、心动不已…一… 起踏上恋爱的旅程吧---------,已完结,http://www.ccdm13.com/manhua/12613/
13,捉迷藏,黒柾志西,日本漫画,"东方神鬼,恐怖,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7995.jpg,捉迷藏漫画 ，充满了荒废和混沌的街道，这里是只有小孩子才能玩的游戏，只有小孩子才能进入的世界。HIKORA为了寻找失踪的妹妹参加了这场与被称为“鬼”的异形者门之间的捉迷藏……,连载中,http://www.ccdm13.com/manhua/12612/
14,天地无用! in love 2,松原あきら,日本漫画,"冒险,后宫,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7994.jpg,天地无用! in love 2漫画 ，天地无用剧场版改编漫画,连载中,http://www.ccdm13.com/manhua/12611/
15,哇！,小岛晃,日本漫画,"搞笑,四格,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7993.jpg,哇！漫画 ，这是在某所高中的学生们平稳的每一天。虽然是没有什么特别的普通日常，但是却有朋友，有喜欢的人。小岛晃为您送上令人期待的日常搞笑漫画。,已完结,http://www.ccdm13.com/manhua/12610/
16,将太的寿司,寺泽大介,日本漫画,"搞笑,美食,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7989.jpg,"将太的寿司漫画 ，继味吉阳一《伙头智多星》后,期间己出了不少有关吃的漫画,然而却鲜有既富人情味,亦兼有教授煮食秘技之「吃作」。",已完结,http://www.ccdm13.com/manhua/12606/
17,三人吉三,山田南平,日本漫画,"爱情,校园,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8025.jpg,"三人吉三漫画 ，八屋和慎太终于答应做第三代少爷和千金,并在学生会的新年会宣布二人的继承. 由于得到朋友很高的评价,所以八屋也变得积极起来. 但是,原来还有一个人应当成为吉三千金的!?",已完结,http://www.ccdm13.com/manhua/12602/
18,桃子的恋爱法则,橘裕,日本漫画,"爱情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8024.jpg,桃子的恋爱法则漫画 ，我想交男朋友，但不想要这样的人，要温柔体贴，长得又帅。。。 橘裕的最新恋爱漫画。,已完结,http://www.ccdm13.com/manhua/12601/
19,童梦,大友克洋,日本漫画,"科幻,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8023.jpg,童梦漫画 ，冷酷描绘机械肉身与文明恶梦的《童梦》，是世纪末的浮世绘，反映日本创作者对末世学（Eschatology）的恐惧、疑惑与情不自禁的迷恋。如同世纪末的人们、飞蛾扑火般地奔赴一场又一场光怪陆离的人工盛宴。二十世纪末的创作和时代的流程同步进行，随时随地都伺机在你不设防的灵肉深处烙印，雕出美丽倒错的纹路与密码。,已完结,http://www.ccdm13.com/manhua/12600/
20,现在只想爱你,吉野阿贵,日本漫画,"爱情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8022.jpg,"现在只想爱你漫画 ，今天是濑川诚人进入大学的第一天,而内向自卑的他不愿去参加开学典礼,独自在校园周围闲逛。在马路边,诚人遇上了一个正要横穿马路的女孩,女孩孩子气的神情令热爱摄影的诚人不由自主地举起相机按下了快门。就在那一瞬间,女孩爱上了诚人。 　　原来这个女孩名叫静流,和诚人是同学。不习惯大学生活的诚人总是逃课外出摄影,而静流则总是陪伴着他。在诚人的影响下,静流也喜欢上了摄影。两人经常一同在校园深处的小树林中拍照。为了诚人,静流决心尽快成长起来。而迟钝的诚人却丝毫没有察觉静流的心思,他一直暗恋着班里出名的美人富山美雪,对他来说,静流只是一个好朋友。",已完结,http://www.ccdm13.com/manhua/12599/
21,妖精标本,由贵香织里,日本漫画,"东方神鬼,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8019.jpg,"妖精标本漫画 ，[被现实所束缚的你,和我一起，到诱惑的世界去吧——] 从母亲那里继承了可以看见[灵]的存在的少年[羽住衣杏]，自小有着被虐待的成长经历。 青梅竹马的[石花铃]则是他最重要的人。 病态的爱着[像妖精一样的]妻子的衣杏之父，原是一位小说家，现在则是高校的老师。 现在，在杀人现场出现了一个带着会说话娃娃的古董店职员，谜一样的人物...",已完结,http://www.ccdm13.com/manhua/12596/
22,异乡之草,志水明,日本漫画,"历史,战争,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8018.jpg,"异乡之草漫画 ，三国群雄割据,乱世出英雄,五位替各地诸侯打江山的人才－黄忠、钟会、甘宁、孟获和简雍。志水明以敏锐触觉、鲜丽画风描绘他们鲜为人知的故事。",已完结,http://www.ccdm13.com/manhua/12595/
23,幽灵旅行代理店,古鸟弥生,日本漫画,"搞笑,东方神鬼,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8017.jpg,幽灵旅行代理店漫画 ，虽然拥有通灵的力量，但却是一个非常害怕幽灵的女高中生。远野真理子（17）。有一天真理子在拜祭外婆的墓地时，不慎把一个无人拜祭的仙人，仁的墓碑打破，为了赔偿墓碑，她成为了“幽灵旅行代理店SOUL MATE TOURIST”的导游！这间旅行代理店透过旅游，为幽灵达成他们生前未了的心结，是一间古怪的公司。而且这间公司的顾通通都是拥有一，两个怪癖的性格派（？）不论男女老幼，就连狗的幽灵也有！本着“心与灵的接触”这句座右铭，真理子这个胆小导游，跟幽灵们一起的不可思议旅程，要整装待发了！！,已完结,http://www.ccdm13.com/manhua/12594/
24,封神演义,藤崎龙,日本漫画,"东方神鬼,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8015.jpg,"封神演义漫画 ，以中国古典名着《封神演义》为蓝本而创作的人气漫画,但是本作的故事和原着根本没有任何联系。最初还基本上是大家比较熟悉的太公望率领大军讨伐妲巳的故事,但后来却变得越来越复杂离奇。值得一提的是,本作在人物塑造方面极为成功,普贤、杨戬以及太公望等角色已经深入人",已完结,http://www.ccdm13.com/manhua/12592/
25,致命病毒,外薗昌也,日本漫画,"恐怖,悬疑,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8010.jpg,致命病毒漫画 ，一名男子在新宿街头大量吐血而死，原因成谜，负责验尸的小野寺和关口二人推测死因可能是某种不明的病毒感染。而当初曾待在事发现场的一名高中女生岬明，身体也出现了异常的变化……在地球不断变化的同时，自然与人类之间究竟产生了多少的矛盾？这部作品以极为写实的笔触，为您揭开现代社会的危机！ 新宿发生离奇死亡事件之后，女高中生岬明遭到不明病毒感染。 小野寺医师与关口医师检验离奇死亡的男子遗体时， 发现这是一种破坏力超强的新型病毒所造成的， 而当时事发现场的在场人士也纷纷以电子邮件通知医院受到感染的症状。 面对一发不可收拾的危机，政府却视若无睹，导致牺牲者越来越多…,已完结,http://www.ccdm13.com/manhua/12587/
26,奇幻百货店,椎名高志,日本漫画,"搞笑,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8009.jpg,"奇幻百货店漫画 ， 椎名高志老师的又一力作,故事中描述的是一只会讲话的老鼠的逃出研究所,所引起一连串的故事。又叫《椎名百货店》,共3卷。这套漫画真的应了一句话：浓缩的都是精华！每本的最后二十几页都是椎名流的搞笑四格漫画,强！ 第一卷的目录包括《口袋骑士》、《口袋骑士2》、《口袋骑士3》、《为电器用品干杯》、《阔别》5个短篇,接下来就是值得大力推荐的《椎名博士的教育指导》！长达28页的四格漫画大集合！《为电器用品干杯》一篇是最值得细细把玩的东西,因为类似的题材不算罕见,椎名演绎起来别有风味。~~~~~~ 第二卷的目录包括《乱破S.S.》、《乱破S.S.2》、《乱破S.S.3》、《笑话·笑话》、《玛莉,救命啊！》5个短篇,接下来还是《椎名博士的教育指导》！26页的四格漫画！《乱破S.S.》里的妖岩真是可爱啊,而且主角三人组在《GS美神极乐大作战》里有过客串登场哩。~~~~~~ 第三卷的目录包括《乱破S.S.4》、《乱破S.S.5》、《乱破S.S.6》、《开发中的帝国》、《锅里灌先生》、《吸血鬼城市》、《第一次的接触》7个短篇,最后是21页的四格漫画《椎名博士的教育指导》！不行了~~~~~~妖岩太好玩了！好想养一个这么可爱的小忍者啊。~~~~~~",已完结,http://www.ccdm13.com/manhua/12586/
27,圣龙的战争,神宫寺一,日本漫画,"冒险,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8008.jpg,圣龙的战争漫画 ，这是一个深受大战的魔爪破坏的世界。在走私市场打工的明和健太，卷入了失控机械人的袭击中。此时出手相救的，是一个名叫圣龙的少年。最强的机械人士兵——圣龙Type；在之前大战后下落不明，圣龙说他正在寻找它的心。走遍世界寻找沉睡的心之遗产的旅程，现在开始……,已完结,http://www.ccdm13.com/manhua/12585/
28,白雪暗姬,叶恭弘,日本漫画,"冒险,搞笑,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7967.jpg,白雪暗姬漫画 ，(全一册)随着年纪增长而变得愈来愈美丽的白雪公主，发现后母看她的眼神也愈来愈寒冷，在她１３岁的最后一夜，王妃终於起了杀机，但王妃想杀害白雪公主的理由，是源自於对其美貌的嫉妒，亦或是其他的理由……？同书还收录「魔法零蛋」的原型作品「ＭＰ０」、科幻恋爱喜剧的「她，猴子。」、以及改编「ＳＴＯＲＹ　ＫＩＮＧ」準优胜原作的「桐野佐亚子与伙伴们」！,已完结,http://www.ccdm13.com/manhua/12584/
29,麻辣拍档,藤泽亨,日本漫画,"搞笑,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7965.jpg,麻辣拍档漫画 ，弹间转学到了新学校，发现在那里的鬼塚最让人感到压迫感，於是一心想打败鬼塚，但是鬼塚老是心不在焉，根本理会弹间的挑衅。原来鬼塚正和朋友在修理一台古董摩托车，看到鬼塚他们那么热情的投入，令弹间非常感动，但碍於面子问题，他强装冷漠并耻笑鬼塚等人的行为。终於等到了摩托车完全修好的日子，可是，就在鬼塚不在的时候，摩托车被暴走族的人抢走了，鬼塚一个人去向暴走族讨回公道，被暴走族的人围了起来，双方正要出手时，弹间赶来支援鬼塚……,已完结,http://www.ccdm13.com/manhua/12582/
30,格斗料理人武藏,刃森尊,日本漫画,"美食,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7964.jpg,格斗料理人武藏漫画 ，智商趋近於零、毫无运动神经、既不受女生欢迎、也常被男同学围殴的软弱男孩， 却被取了一个「天下无双」男人的名字——宫本武藏。 一无可取的他，家里开的是平价定食店，从没对料理费过心的他， 却因缘际会地开始接触料理，并以卓越的观察力，做出一道又一道贴近人心的温暖料理。 以成为「世界第一」为目标的宫本武藏，他的料理人之路是否会一路顺遂呢？,已完结,http://www.ccdm13.com/manhua/12581/
31,为食神探,寺泽大介,日本漫画,"搞笑,侦探,美食,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7963.jpg,为食神探漫画 ，大嚼受害者家中冰箱內的菜肴，细细品尝杀人现场的寿司……吃完再推理，推理完再吃。一个脑筋灵活、思路清晰的大胃王，突破传统框框、别具一格的为食神探！,已完结,http://www.ccdm13.com/manhua/12580/
32,地狱之母,犬木加奈子,日本漫画,"恐怖,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7962.jpg,地狱之母漫画 ，日落以后不要打开此书!否则后果自负..........！,已完结,http://www.ccdm13.com/manhua/12579/
33,GTO湘南14日,藤泽亨,日本漫画,"搞笑,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7961.jpg,GTO湘南14日漫画 ，故事是讲鬼冢在被手枪击中负伤在医院，结果不甘寂寞的他偷跑出医院，参加电视节目。在节目中给学校带来了严重的不好影响。只好出外躲躲，无处可去的他又回到了湘南。在那里鬼冢在碰巧之下去了儿童救助中心，当然中心里又有很多的问题儿童，故事就这样又开始了~~~,已完结,http://www.ccdm13.com/manhua/12578/
34,怪奇诊察室,犬木加奈子,日本漫画,"恐怖,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7960.jpg,"怪奇诊察室漫画 ，欢迎你们来到这所诊察室,大门已为你们打开...。我专医奇难杂症,包括人心的恐慌、憎恶和嫉妒。你们不要转移视线啊......尽管放心阅读这本书吧!我就是那个穿着黑色外套,打累色领带的神轮医生。我专程来带你们进入我这个不可思议的世界......在这世界上,其中一种最不可思议、最脆弱的东西就是「少女的心」。在我的档桉中,很多少女患上激烈、冷酷和和极端的精神病症。如果你不介意的话,请跟我一起打开诊察室的门吧!很多少女因为本身的激烈和极端性格 ,使她们不自觉地陷入一个不能逃离的深渊",已完结,http://www.ccdm13.com/manhua/12577/
35,怪谈,犬木加奈子,日本漫画,"恐怖,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7959.jpg,怪谈漫画 ，不可以知道的第七件怪事是什么呢？许多可怕的怪谈！震撼的学校鬼故事(怪谈)之中还收录了可怕的心想事成[比利亚诺],已完结,http://www.ccdm13.com/manhua/12576/
0,老人物语,犬木加奈子,日本漫画,"恐怖,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7958.jpg,老人物语漫画 ，家有一老如有一宝。已逝世的婆婆，仍会每一个晚上回来给孙女述说她最喜欢的鬼故事！,已完结,http://www.ccdm13.com/manhua/12575/
1,尸鬼,藤崎龙&小野不由美,日本漫画,"恐怖,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7957.jpg,尸鬼漫画 ，周围被隔绝了的村落，外场村。从很早以前就不怎么变化的这个村落，现在土葬的习惯也根深蒂固地残留着。和平的村落最初发生了小小的变化，那就是不知道从哪里移筑而来的旧的西方式建筑。不知从何而来的西方建筑里的居民……某日被毁坏的村中神像……不断地增多的死因不明的死者……到底这个村子发生了什么？在夏天突然袭击了村落的悲剧的结果又是什么呢？,已完结,http://www.ccdm13.com/manhua/12574/
2,光速蒙面侠21,村田雄介,日本漫画,"竞技,热血,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7956.jpg,光速蒙面侠21漫画 ，小早川濑那是个胆小因循守旧的高中一年级学生。自小就为了躲避被人欺负，一味地过着遁行的人生。成天被人点去买饮买食，不知不觉间练就了一副好身手（指跑步），甚至用4秒2跑出40码的世界纪录（当被狗追时）。进入高中后，濑那决意改变自己、决心加入美式足球部担任经理，期待着新生活的来临...但是，濑那由逃跑而练就出来的跑步，吸引了美式足球部的队长蛭魔妖一（ヒル魔）的眼光。因为强悍和卑劣的手段而声名远播的ヒル魔，准备训练濑那成为背号21的神秘光速之脚际遇了美式足球，濑那能改变以往的自己吗……,已完结,http://www.ccdm13.com/manhua/12573/
3,传说头目翔,刃森尊,日本漫画,"搞笑,格斗,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7955.jpg,传说头目翔漫画 ，十五岁的山田达人出生后总是当最低等的跑腿…在一次的机缘下救了GRANDCROSS第七代总长伊集院翔而两人长相相似所以交换身分一个月，在这一段时间会发生什么事情呢…？达人好不容易成功打倒前来报仇的疯狗金山，而声名远播。有一日，帮里跑腿的樱井与「北总喧哗队」的瀨山发生衝突，得知此事的达人只好马上向翔求救。但没想到翔要达人去向对方道歉……！,已完结,http://www.ccdm13.com/manhua/12572/
4,GTO,藤泽亨,日本漫画,"搞笑,热血,励志,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7954.jpg,GTO漫画 ，五流大學畢業，前身為飆車族的鬼塚英吉（22歲），專長是空手道、飛車、以眼殺人。興趣是看三級片、偷窺的他，卻有一個偉大的理想——要成為一個名留青史的偉大老師！,已完结,http://www.ccdm13.com/manhua/12571/
5,心魔大审判Ⅰ,高桥努,日本漫画,"冒险,悬疑,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7987.jpg,"心魔大审判Ⅰ漫画 ，這套漫畫說來還滿奇特,靈異又非全然靈異,高橋努將重點著墨於人性懦弱處與選擇權上,想不想、能不能、願不願意去放開過往,多數人類的共通弱點吧,當自己遭遇到比死還大的屈辱,就算要利用自己將對方拖入泥沼也再所不惜,明明可以讓自己重新再來一次人生,但死結卻打不開,關也過不了,殺人者無須考慮這麼多,反而是受害者要在這項選擇權上備受煎熬,即脆弱卻又能堅強。 若照怨恨之門的守門人伊豆子說法,殺人或自殺者皆要下地嶽,那加害者死亡後必定會去地嶽報到,受害者又何必讓自己同樣步入泥沼中？是,『咒死還活在人世間的人』有個但書：『殺人或自殺者都會墮落地獄,在永無止盡、無法轉世的痛苦當中掙扎』。高橋努則將各人生前與死後心境,兩相對照,讓讀者自己思考,到底受害者值不值得賠上永世、咒死加害者只為了自我直接審判他的罪狀。",已完结,http://www.ccdm13.com/manhua/12564/
6,猩人王,刃森尊,日本漫画,"冒险,格斗,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7986.jpg,猩人王漫画 ，一个外表像猩猩，整天遭人欺负的软弱少年「猩猩夫」，原来在他体内有一股强大的力量，每当他感到极度恐惧，那股力量便会爆发！成为无人匹敌的格斗天王，新一代格斗天王正式诞生！,已完结,http://www.ccdm13.com/manhua/12563/
7,少女革命,齐藤千穗,日本漫画,"冒险,百合,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7983.jpg,少女革命漫画 ，　　>>点击进入百合漫画专题,已完结,http://www.ccdm13.com/manhua/12560/
8,心魔大审判Ⅱ业障,高桥努,日本漫画,"冒险,悬疑,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7981.jpg,心魔大审判Ⅱ业障漫画 ，母女同时被充满怨恨的灵魂缠身，难道没有任何法术可以制服的了他吗！？承受着被伊丸附身的痛苦的菖蒲 ，发现菖蒲异样的真唯。不管是在精神方面、肉体方面都承受着伊丸带来的痛苦。决定用慈悲来感动伊丸的真唯，最后会演变成怎样的情况呢？,已完结,http://www.ccdm13.com/manhua/12558/
9,JUNK - 末代英雄,麻宫骑亚,日本漫画,"冒险,科幻,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7980.jpg,JUNK - 末代英雄漫画 ，御宅族的高中生比吕，无意间在一个叫作JUNK的网站上登录了自己名字。过没多久，就收到一个装有怪异装备的包裹。当比吕一戴上装备，即获得超越人类的力量…但他的怪模怪样与作为引起一阵“怪人”骚动！？一个曾经饱受欺负、不敢面对现实的稚嫩少年，他将会凭借这股力量成为神？还是成为恶魔！？本书为麻宫骑亚老师的最新力作，有别于以往的风格，以更写实的笔触来描绘现代社会，大家千万要欣赏看看喔！,已完结,http://www.ccdm13.com/manhua/12557/
10,人间凶器,刃森尊,日本漫画,"搞笑,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7978.jpg,人间凶器漫画 ，肉脚大雄进了高中之后，决定重新打造一个光明与希望的未来。在大雄的「努力」之下，他终於找到属於自己「多采多姿」的高中生活…,已完结,http://www.ccdm13.com/manhua/12555/
11,寄生兽,岩明均,日本漫画,"科幻,恐怖,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7977.jpg,寄生兽漫画 ，“总有一天，人类会知道乱扔垃圾是比杀人更重的罪……总有一天，人类会知道天敌的重要性！”说这些话的并不是吃人的寄生兽，而是一个真正的人，他也是在书中唯一一个接纳寄生兽的人类。,已完结,http://www.ccdm13.com/manhua/12554/
12,震撼鲜师,小金丸大,日本漫画,"校园,热血,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7975.jpg,震撼鲜师漫画 ，《震撼鲜师》这部作品，从一个长相清秀的少年诈欺师出发，延伸出许许多多学生们所遇到的事请。虽解决的方法多有垂涎，不过最终的目的，还是希望青少年能因此有所成长，不知误入歧途。,已完结,http://www.ccdm13.com/manhua/12552/
13,心魔大审判Ⅲ 新章,高桥努,日本漫画,"冒险,悬疑,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7970.jpg,"心魔大审判Ⅲ 新章漫画 ，《心魔大审判Ⅲ新章》是续前两部作品后的续集，高桥努再次將重點著墨於人性懦弱處與選擇權上，想不想、能不能、願不願意去放開過往,多數人類的共通弱點吧,當自己遭遇到比死還大的屈辱,就算要利用自己將對方拖入泥沼也再所不惜,明明可以讓自己重新再來一次人生,但死結卻打不開,關也過不了,殺人者無須考慮這麼多,反而是受害者要在這項選擇權上備受煎熬,即脆弱卻又能堅強。",已完结,http://www.ccdm13.com/manhua/12547/
14,史上最不幸大佬,阿部秀司,日本漫画,"冒险,搞笑,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7969.jpg,史上最不幸大佬漫画 ，大河内一郎、二郎是不良的黑社会学生，就读于德丸学园。他们的弟弟三郎，性格懦弱，一心一意只希望入读普通高中，做个普通高中生。可惜，事与愿违，他不幸的入读了哥哥们的学校，也不幸地做了德丸的大佬！闹出一连串趣事...,已完结,http://www.ccdm13.com/manhua/12546/
15,逮捕令,藤岛康介,日本漫画,"搞笑,职场,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7968.jpg,逮捕令漫画 ，墨东警署聚了一群既怪又有趣的人，他们为市民伸张正义，也惹了不少笑话。 美幸和夏实分别完成一年的研修重返墨东署。跟着，区内接连发生多宗案件。先有葵双叶和赖子发现一批数量庞大的枪械，继而发生交通灯神秘故障以及电话线不通的意外。后来，众人在一次捣破走私枪械交易的行动中发现一只光碟，可是，其中的资料却无法开启。那时候，一名神秘人致电墨东署他在隅田河的桥上放置了炸弹……！,已完结,http://www.ccdm13.com/manhua/12545/
