,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结,漫画地址
10,圣者,赤石路代,日本漫画,"爱情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/21/10446.jpg,圣者漫画 ，住在横滨的少女——春美，救了一位到在港口的少年。这位少年丧失记忆，却拥有神奇的力量。他不但可以通过用手触摸病人的伤口让其恢复。甚至可以起死回生……,已完结,http://www.ccdm13.com/manhua/15435/
11,幸运四叶草,安达充,日本漫画,"竞技,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/21/10217.jpg,幸运四叶草漫画 ，主人公树多村光有4个青梅竹马，分别是长女一叶、次女若叶、三女青叶、四女红叶四姐妹！都说四叶的苜蓿将会带来幸运，那么这四姐妹到底是带来光明的幸运女神呢？还是带来霉运的瘟神呢？呼唤幸运？的四叶的青春故事。,已完结,http://www.ccdm13.com/manhua/15201/
12,甜蜜的誓约,太田早纪,日本漫画,"爱情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/20/9625.jpg,"甜蜜的誓约漫画 ，高中生小夫妻玲奈和京汰,两人相识相恋的经过,完全公开！恋爱总是说来就来,玲奈遭遇危机之际,刚好被偶然路过的京汰所救。对京汰一见钟情的玲奈,居然立志考上和他一样的升学名校…？！",已完结,http://www.ccdm13.com/manhua/14592/
13,强殖装甲凯普,ちみもりを(高屋良树),日本漫画,"冒险,科幻,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/11/5071.jpg,强殖装甲凯普漫画 ，神秘组织“克诺斯”利用远古时代外太空生命遗留下来的“遗迹”，研制出将人类兽化的系统，制造出无数受控于十位克诺斯首领“兽神将”的兽化兵，并将它们安排在世界各地，准备在适当时机控制地球。中学生深町晶偶然得到「单元．加尔巴」，因而成为秘密组织古罗洛斯的追杀对象！「单元．加尔巴」是于数千年以前降临地球，被称为「降临者」的外层空间知性体所留下的超生体兵器，经殖装后，即成为压倒性的生化强殖装甲，足以和古罗洛斯这个最大的邪恶组织匹敌！面对连续不断派来的兽化兵攻击，深町晶凭着至高无上的强殖装甲，踏上了苦战的不归路，为人类的命运而奋战，伟大精彩的科幻兽化故事亦于焉展开！,连载中,http://www.ccdm13.com/manhua/14570/
14,妖怪天然豆,南佐智,日本漫画,"爱情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/20/9512.jpg,妖怪天然豆漫画 ，美也、天津、阿禅三个人是从小就认识的童年玩伴。某天，美也对高中少年东条一见锺情，所以她下定决心要当上东条的女朋友。可是暗恋美也的天津却使尽各种手段妨碍她！此外，他们三个人还有一个重大的秘密！爱与友情的〝妖怪″恋爱喜剧,已完结,http://www.ccdm13.com/manhua/14279/
15,三月的狮子,羽海野千花,日本漫画,"竞技,生活亲情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/2/581.jpg,三月的狮子漫画 ，《3月的狮子》的主人公为一名17岁的职业将棋手桐山零，零幼时在一场交通事故中失去了父母和妹妹，心灵受到很大伤害，而就在孤独的零面前，明里、日向、桃三姊妹的出现使其感受到人世间的温暖。,已完结,http://www.ccdm13.com/manhua/14158/
16,危险调查员,浦泽直树,日本漫画,"冒险,侦探,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/8/3834.jpg,危险调查员漫画 ，非常好看的一套漫画喔，漫画的场景横跨伦敦日本德国罗马尼亚伊拉克以色列到新疆各地，在各种案件当中，看起来像是侦探小说又像是一套考古发现之旅，更重要是每回探触到人类文明起源的思考，回到一种尊敬自然的感觉。,连载中,http://www.ccdm13.com/manhua/14125/
17,横纲武神,佐藤贵广,日本漫画,"格斗,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/15/7062.jpg,横纲武神漫画 ，相扑是日本的国技，在日本人的心中，大相扑的力士们拥有至高无上的地位，最顶尖的横纲更是被视为天神的化身。然而近年来，随着国际化的发展趋势，大相扑逐渐失去了原本的神圣性，甚而被认为与一般体育活动无异。本作品由相扑界现实与无情的一面切入，透过主角鲤太郎对体制和命运的冲撞，揭露大相扑的黑暗面，也描绘出作者对振兴国技的期许。紧凑的剧情、流畅的分镜和激烈的对打，保证精彩可期！,连载中,http://www.ccdm13.com/manhua/14116/
18,BLOOD ALONE,高野真之,日本漫画,"爱情,东方神鬼,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/5/2361.jpg,"BLOOD ALONE漫画 ，男主角为小说家兼侦探,女主角为一个LOLI吸血鬼
故事是他们两个的爱情(大概吧)
LOLI控必看,MM也应该喜欢爱,高野描写故事的时候非常细腻,总之非常好看",连载中,http://www.ccdm13.com/manhua/14098/
19,MM一族,冰树一世,日本漫画,"搞笑,后宫,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/15/7126.jpg,MM一族漫画 ，由于某事件的发生，让砂户太郎“被女生这样那样就会很爽”的某个体质觉醒了。这样下去，他绝对没办法谈一场普通恋爱！为了治好这种体质，太郎找上了校内专门“实现学生愿望”的第二义工社。　　可是第二义工社里，却有一个自称是神的激进美少女——石动美绪，还有引发太郎体质觉醒的不祥存在——结野岚子，两位女孩接二连三地设下快乐的陷阱，让太郎越陷越深！加油啊，太郎！这样就一直爽下去是不行的呀！,已完结,http://www.ccdm13.com/manhua/14090/
20,魔法少女PrettyBell,KAKERU,日本漫画,"搞笑,魔法,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/4/1910.jpg,"魔法少女PrettyBell漫画 ，意料之外的NEW英雄诞生！！看啊！那既华丽又强韧的肌肉！！
最近的魔法少女很糟糕系列，同最近的魔法少女漫画一样，是本糟糕漫……",已完结,http://www.ccdm13.com/manhua/14087/
21,少年独立国,滨中明&中道裕大,日本漫画,"冒险,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/19/9421.jpg,少年独立国漫画 ，片桐圣士和三枝春是从小一块长大的好朋友，高中也是一同就读第一精英养成学校紫海馆学园，每天过著安稳的生活。但是，突然的意外，让小春离开这个世界，留下了错愕的圣士孤独过著每一天，直到圣士发现了小春的遗言……原来小春的死并非意外，而是遭受强大权力的威胁，惨遭杀害！从那天起，圣士开始了他看似荒唐且毫无希望的孤独战役！17岁的高中生，大胆挑战强大的日本国家！最具衝击性的反抗革命，令人期待！,已完结,http://www.ccdm13.com/manhua/13993/
22,斩(魂),杉田尚,日本漫画,"冒险,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/19/9392.jpg,斩(魂)漫画 ，“日本明治时期以后武士刀与武士一起消失了”，这句话在电影是经常听到的。不过实际上武士并没有消失，上班族、演员甚至高中生……几乎所有的男人都带着武士刀。在这样的时代背景下，一个看似文弱叫做斩的高中生，其实身上有个很大的秘密…………,已完结,http://www.ccdm13.com/manhua/13965/
