,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结
13,彼氏彼女的故事,津田雅美,日本漫画,"欢乐向,爱情,高清单行",JPG,http://images.dmzj.com/webpic/17/bishibinvdegushixin.jpg,女主人公宫泽雪野其实是个个性搞笑、狂爱虚荣的女子，只是为了旁人夸奖和羡慕才一举一动故意做作；而有马总一郎其实是被亲生父母打骂抛弃的可怜少年，为了报恩而压抑自己的个性，力求完美。两人因偶然机会（超级搞笑的）互相了解本性，更互相吸引并一同努力恢复本性，其中真是错综复杂却又笑话百出。,已完结
14,冰之魔物语,杉浦志保,日本漫画,"冒险,纯爱",JPG,http://images.dmzj.com/webpic/5/bzmwy676l.JPG,"欧洲民间故事风格，在剑与咒文的时代，在人类和魔物互相对立、意图消灭彼此的背景下，藉由人类伊修卡和魔物布拉德的相会，杉浦志保创造出了长篇幻想故事《冰之魔物语》。

从前从前有个村子，西边外侧有个洞窟，洞窟里有个无血无泪的魔物，任何进入洞窟的人，从来没听说有人能活着出来。得了不治之症的伊修卡进入洞窟想寻求解脱 ，在这里和北方魔物之主布拉德初次相会。 

布拉德被僧院封印在不会溶化的冰里，数十年无法动弹。据说由害怕死亡的人类流下来的泪水形成的“泪之宝石”可以实现任何愿望。为了从冰封中解放，布拉德必须得到“泪之宝石”。

不过，传说和事实总是有所出入，布拉德因为不再是只顾自己的魔物而脱离冰的束缚，而他找了数十年的泪之宝石，则是自己为了心脏病发死亡的伊修卡流下眼泪形成的。于是，一个是重获自由的魔物，一个是藉由宝石之力复活的僵尸，两人从 此相偕踏上旅程… 

魔物和人类，对立的异族之间能不能彼此了解？东方魔物之主黑暗使者威鲁特和拉普耶鲁的故事，取材自格林童话里的《莴苣姑娘》，Rapunzel即德语“莴苣”之意。 在格林童话中，被关在高塔里的莴苣姑娘被魔女赶出高塔，历尽艰辛，最后和王子过着幸福快乐的日子；在杉浦志保的笔下，魔女变成了黑暗使者威鲁特，而饰演公主的拉普耶鲁在王子与黑暗使者之间，选择了后者。 

在魔物和人类之间，僧侣扮演着人类的保护者，以猎杀魔物为职志，不惜利用强力 的魔物诱捕较弱的魔物这样卑劣的手段，只因为认定“魔物”是毫无存在价值的。身为大僧正孙子的赛鲁基，在了解到布拉德对伊修卡的感情后，开始质疑过去猎捕魔物的正确性。 

现在，东西南北四方魔物全数登场，魔物与僧院多年来复杂的关系也逐渐明朗化，故事堂堂迈入最终章了，到底最后结局会如何？虽然说杉浦老师自认喜欢喜剧结局，不过在北院大僧正受到西之魔物黑蜘蛛的重创，赛鲁基的额头已经被烙下背叛僧院的刻印之下，这喜剧结局会是怎样的“喜”，着实令人有点不安啊… ",已完结
15,blame,贰瓶勉,日本漫画,"冒险,科幻",JPG,http://images.dmzj.com/webpic/8/blame.jpg,"在网络崩溃时代，作为整个系统混乱之前的安全警卫，孤身一人的雾亥手持“重粒子放射线枪”，自地下5000层上行，寻找网络末端未受污染的人类基因。
探索者雾亥出现在一片荒芜，充满危险的大地上。他是为了寻找传说中的网络终端遗传因子，在充斥着安全警卫，建设者，统治局的异世界中不停搜索，抗争。这就是传说已久的BLAME! ，这就是比Matrix更庞大，更复杂的网络世界。。。 ",已完结
16,薄荷关系,吉住涉,日本漫画,"爱情,秀吉",JPG,http://images.dmzj.com/webpic/13/bohe.jpg,故事讲述一对孖生姊弟：南野诺维（弟弟）及南野玛利亚（姊姊），自小便感情非常要好。两人本来就读同所初中：东山中学园，但玛利亚对另一所初中森之宫学园的篮球部教练一见钟情，所以她藉诺维天去旅行时偷偷地转校到森之宫去。诺维当然是为了抢回玛利亚而紧随她转到森之宫去。因为女生宿舍才有空位，在理事长的许可下诺维唯有假扮女生。男生假扮女生当然有很多不便，诺维亦因为和玛利亚的样貌非常相似，被校内的学生喻为漂亮的姊妹花。在森之宫里玛利亚和诺维亦各自展开甜蜜的爱情生活。,已完结
17,B-wanted,安琉安崎,日本漫画,"冒险,爱情",JPG,http://images.dmzj.com/webpic/15/b-wanted.jpg,"真诚沙生是“真流舞”的继承人, 在无意中认识到蓝田透和驰马熏,在俊男引诱(?)之下加入了“奇术部”。
并加入了寻找大正时代“B”的宝物 ,而一个又惊险又刺 激的爱情故事开始了!!!??
",已完结
18,恶魔在身边,高梨三叶,日本漫画,爱情,JPG,http://images.dmzj.com/webpic/16/bydevil.jpg,出现在茅乃面，比她小一岁的超问题儿阿猛，是个逮到茅乃小辫子就一真欺负她的恶魔。然而，当她知道阿猛出乎意料也有温柔的一面，而深受大家爱戴之时，茅乃的心也逐渐被他吸引…… 茅乃喜欢上应该是她弟弟的超级问题儿阿猛。虽然阿猛引发了不少事件，不过茅乃对他的感情却是有增无减。然后，她终于对阿猛做出爱的告白了！阿猛的反应看似还有一线希望，然而……！,已完结
19,世纪末天使,仓桥绘里花,日本漫画,"爱情,神鬼",JPG,http://images.dmzj.com/webpic/19/centuryangel.jpg,"铃花喜欢上最受全校女生欢迎的尚人，但是尚人某天发生了交通事故而灵魂出窍！在他回到身体之前，铃花让他住在自己家里，尚人为了感谢铃花而自愿当她的守护灵。。。！？
故事的主人公名叫铃花深爱着少女们的偶像尚人。不幸的是由于一次意外的交通事故使得尚人的灵魂脱离身躯。深爱着他的玲花毅然决定守护在尚人身边直到他复原。作为报达尚人的灵魂也时时陪伴她左右。可是小林君的出现搅乱了玲花的计划。
原来小林的前身是龙之助，而玲花的前世则是与他有积怨的风铃公主。而龙之助的出现正是要谋害尚人以此来报复玲花。为了心爱的人，玲花不惜靠委身充当小林的女友来贴身监视他的动向。但是玲花和朋友们的努力并没有约束魔王的计划。小林的失踪使得他们骤然失去了方向。当他们一路追寻来到井冈时，发现小林已经与以前判若两人。一场在爱的名义下的战斗就此拉开序幕......
",已完结
20,玩偶游戏,小花美穗,日本漫画,"欢乐向,爱情,高清单行",JPG,http://images.dmzj.com/webpic/1/wanouyouxi.jpg,"　　倉田紗南是個活躍於演藝界的活潑小學生.她的母親實紗子,出了有關紗南出生祕密的書，那本書出版後,就引起相當大的騷動!當時,支撐紗南渡過難關的人,就是同班同學:羽山秋人 
上了國中,紗南和松井風花變成好朋友.但是,就在紗南向學校請假去拍攝電影的期間,羽山和風花成為情侶並開始交往,紗南知道後遭受相當大的打擊!經過一起參加演出的演員的分析紗南終於發現她喜歡上正和風花交往的羽山秋人??? 
之後又發生和同班的小森失蹤事件.羽山四處尋找欲將小森帶回,可是他的手臂竟被刺傷,雖然撿回一條命,但羽山的右手卻無法動彈.....羽山住院的時後,風花知道紗南才是羽山最重視的人,於是決定跟羽山分手.此時羽山和紗南終於成為戀人! 就在這時後,羽山卻因父親的轉職必須到洛杉磯去!這個打擊讓紗南曾經得過的""人偶病""再度復發。
羽山和紗南商量好後,決定一起去私奔,私奔途中羽山突然大發脾氣說出他內心的害怕與恐懼,紗南被羽山說的話所感動,所以恢復了表情。
後來羽山終於去了美國,經過好長的一段歲月,羽山回日本看紗南了!兩人彼此都很想念對方,後來紗南為了她的Call-in節目去找那個{小M}然後紗南就鼓勵小m要提起精神來carry on! 
",已完结
21,圣枪修女,森山大辅,日本漫画,"爱情,魔法,高清单行",JPG,http://images.dmzj.com/webpic/3/chrno.jpg,"1870年，平静的人类世界之外，魔族之母被反叛的“罪人”砍下了首级。同时，教会秘密收藏的“圣女”玛德莲娜被恶魔掳走。
50年后，年幼的姐弟开启了地下坟墓的大门……不久，某个地方的时间永远地停止了。
4年过去，一个破坏力超强的少女在纽约出现。她是罗塞朵修女，玛克达拉修道院的除魔师。第一次世界大战结束后不久，美国经济开始了前所未有的发展。但是过于急速的发展吸引了一些不速之客。人眼看不到的怪异，在黑暗中蠢蠢欲动。然而，与罗塞朵搭档的少年，却是与之定下“怀表契约”的高阶恶魔、折断尖角的爵位剥夺者、杀死无数同胞的罪人----库挪。

修女与恶魔的组合，承受着来自教会的压力，躲避着来自魔界的追兵，守护“地上代行者”，寻找被罪人首领带走的约书亚。但是，只要库挪还活着，罗塞朵的生命就被不断消耗。相濡以沫的两人，倒计时的生命究竟会迎来怎样的结局？
",已完结
22,草莓频道,田岛美美,日本漫画,爱情,JPG,http://images.dmzj.com/webpic/5/cmpd.jpg,"一子是个外向开朗的女孩子。有一天,她突然得和弟弟健一同加入男子偶像团体「trijet」。在不熟悉的演艺圈中,一子力图适应... 一子终於慢慢习惯了身为TRIJET 1号的生活。另一方面,她还是「草莓」的身份和透成了好朋友。不过,草莓就是1号这件事,仍然是秘密┅某日,一子和透KISS了┅.!",已完结
