,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结
1113,诸界之战-新阿特拉斯特工,Marvel Comics,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/13/atls20510.jpg,前神盾局特工吉米·吴成为了名为阿特拉斯基金会的国际秘密社团领袖，他们利用丰富的资源建设着更好的世界！吉米需要战友投身一场大战，他把对未来的希望寄托在全球的年轻英雄身上，但什么事情才能将英雄们塑造成吉米需要的队伍？什么的纷争才会凝聚起…,已完结
1114,蝙蝠侠/忍者神龟V2,DC Comics,欧美漫画,"冒险,科幻",JPG,http://images.dmzj.com/webpic/14/renzheshengguilaohei0517.jpg,蝙蝠侠将再次与忍者神龟不打不相识，这部续作共六卷，仍然由《蝙蝠侠》与《侦探漫画》编剧James Tynion IV打造剧本，《希曼》与《霹雳猫》绘图设计Freddie Williams II绘制。,已完结
1115,假如？夜魔侠杀死了金并,Marvel Comics,欧美漫画,"冒险,科幻",JPG,http://images.dmzj.com/webpic/2/yemoxiashajinjing0517.jpg,凯伦·佩吉当时正处于深深的绝望当中，于是她出卖了她仅剩的有价值的财产--她的前任爱人的秘密。他最大的敌人利用这秘密一点一点地摧毁了他。直到最后，他得知了那个幕后的主使者是谁，杀戮的欲望立刻吞噬了他。在我们的宇宙中，马特·默多克没有杀死金并，他逐渐找回了理智，重新拾起了自己的生活。但在这里有一个截然不同的世界…,已完结
1116,蝙蝠侠：小丑之女,DC Comics,欧美漫画,"格斗,科幻",JPG,http://images.dmzj.com/webpic/11/bianfuxiaxiaochouzhinv111.jpg,恶魔要回家了，而整个地狱要随他而至,已完结
1117,星球大战：帝国反击战,科学普及出版社,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/11/xqdzdgfjz0522.jpg,电影《星球大战：帝国反击战》同名漫画改编作品,已完结
1118,探险时光：玛茜和西蒙,Kaboom!,欧美漫画,"冒险,欢乐向",JPG,http://images.dmzj.com/webpic/14/mxsg522.jpg,经历糖果战争与GOLB来袭后，玛瑟琳终于得以和西蒙团聚。西蒙决定弥补作为寒冰王时期所犯的错误，需要玛茜的帮助。,已完结
1119,探险时光：劫脑者,Kaboom!,欧美漫画,"冒险,欢乐向",JPG,http://images.dmzj.com/webpic/6/jienaozhe523.jpg,这是LSP生命中最重要时刻，如果她得不到帮助，一切都将从指缝溜走。小树象决定从退休生活中复出，帮助LSP进行这场狂野的西部寻宝。芬恩和杰克秘密跟随，以保护他们的朋友，却发现LSP对宝藏秘密隐藏得更深。,已完结
1120,Sabre,Éric Feres,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/15/sabre530.jpg,"公元前15000年，寒冷肆虐，地球处于冰封的地质更换时期。 山顶一道奇异的闪电绽开光芒，一只小剑齿兽就此诞生。 天真烂漫、无拘无束，在身份和存在的找与寻之间，一场冒险游戏就此展开。 独特、大胆、诗意的无字漫画《小剑齿》（Sabre,Dargaud）穿梭于海洋与火山的迷幻与浪漫之间。如《2001太空漫游》般的场景，带我们徜徉于玫瑰色的末世和蔚蓝色的月光之下。",已完结
1121,龙之纪元：欺瞒大师 ,Dark Horse Comics,欧美漫画,西方魔幻,JPG,http://images.dmzj.com/webpic/18/long20190531.jpg,龙之纪元系列,已完结
1122,变形金刚:史记,IDW,欧美漫画,"冒险,科幻",JPG,http://images.dmzj.com/webpic/14/shiji601.jpg,IDW首个G1宇宙封箱之作！变形金刚维基大神执笔，完整讲述13年的变形金刚故事！,已完结
