,漫画ID,标题,作者,封面,内容简介,是否完结,最新章节
14,212073,很纯很美好,三福互娱,https://oss.mkzcdn.com/comic/cover/20190923/5d8897d3ac670-750x999.jpg!cover-400,"
              一个科技改变命运的校园轻喜剧，高中生杨明本是一个标准的差生，打架斗殴逃课作弊，样样不落。面对校花的鼓励，虽然羞愧难当但也无能为力。可是一次偶然机会，他获得了一副神奇的眼镜，并且彻底改变了他的未来！              ",连载中,第301话
15,208643,穿越西元3000后,小小作文,https://oss.mkzcdn.com/comic/cover/20181106/5be153cb33e29-600x800.jpg!cover-400,"
              《穿越西元3000后》讲述的是一位生活在西元2011年的少女叶冰瑶（女主）在一次学校露营时，好友小桔发现一个山洞中好像闪出丝丝绿光便准备去看看，但在找不到男生陪同前去时，瑶瑶毅然决定两人前去。在到了山洞后，发现有什么转动起来了，瑶瑶在小桔的尖叫中失去了意识。醒来时发现自己……              ",连载中,第679话 仇恨滋生2
16,209533,我被总裁黑上了！,源创优加,https://oss.mkzcdn.com/comic/cover/20190919/5d833a65ac3ec-749x999.jpg!cover-400,"
              EXcuse me？！当红偶像变肥婆？！之后竟然误入黑粉霸总家？！为了还债不得不扮演起对方的保姆兼职知心姐姐？！这个剧情发展有点迷！              ",连载中,第261话
17,214160,最强枭雄系统,掌阅漫画,https://oss.mkzcdn.com/comic/cover/20190821/5d5d34d1e2964-744x992.jpg!cover-400,"
              【每周五更新】一场车祸，娱乐城小保安竟穿越到了平行世界的另一个“自己”身上！还带着个专属大BUG——来历不明+无所不能的大枭雄系统？！从此，开启闪亮亮的人生路！              ",连载中,第224话 她好有弹性！
18,213295,逆天邪神,二次元动漫,https://oss.mkzcdn.com/comic/cover/20191021/5dad52593da97-750x999.jpg!cover-400,"
              一代天才玄脉受损成为废物，家族摒弃，世人嘲笑，甚至新婚之夜遭人毒害……玄天至宝，轮回镜现，逆天改命，重启人生，带着仇恨与遗憾，誓要登顶力量的巅峰！              ",连载中,第156话 倾月苏醒
19,208707,网游之近战法师,百泉 蓝白条,https://oss.mkzcdn.com/comic/cover/20190704/5d1d741e7b2eb-750x999.jpg!cover-400,"
              最新全息网游----平行世界开始试运行。体育老师顾飞用学生阿发送给他的账号登录游戏后发现，要玩格斗家的自己变成最不想玩的法师。              ",连载中,第267话 漂流的小心思3
20,210237,完美世界,神漫,https://oss.mkzcdn.com/comic/cover/20180824/5b7f71452cb89-600x800.jpg!cover-400,"
              完美的世界，热血人生。。。。。。              ",连载中,停更公告
21,209412,灵剑尊,iCiyuan动漫,https://oss.mkzcdn.com/comic/cover/20190819/5d5a070f7cb0b-750x999.jpg!cover-400,"
              （每周五更新）强者遇袭，重返少年时代，成为当年弱小的废物少主。 前世的仇人，今生，绝不会放过！ 前世的遗憾，今生，一定要弥补！ 待到灵剑长啸之时，天地三界，我为至尊！ 若有不从者，一剑，杀之！粉丝①群：424157105（已满，少有位置）粉丝②群：471649635(火爆)              ",连载中,第273话 神鹰出击！
22,208645,寻找前世之旅,金鱼,https://oss.mkzcdn.com/comic/cover/20181120/5bf39dc1478c0-600x800.jpg!cover-400,"
              不知你有没有听过这么一种说法：预知前生事，今生所受事。前世之因，后世之果，如果你种下了这个因，那么无论经过多少个轮回，你都摆脱不了这个结果。该如何化解呢？这也许是无可奈何、难以化解的宿命。 而有这么一种生意，偏偏就是要回到你种下因的这一世，找出宿命的根源，改变它，从而也改变你今生的结果。这门生意不收钱，收的仅仅是——你的一滴眼泪。 身世离奇的少女叶隐，从小被师父司音收养的她，在出师后，开始了这奇妙的时空之旅……              ",连载中,第451话 寻找多罗3
23,213612,龙隐者,分布文化,https://oss.mkzcdn.com/comic/cover/20181101/5bdac6bbdfa72-600x799.jpg!cover-400,"
              普通大学生夏焱得到异界巫妖的传承，人生从此变得精彩。带一群骷髅宝宝纵横都市，既是死神，也是超级英雄。校花美女、歌坛天后、霸道女总裁……庇护在夏焱灵魂之火照耀之下！ 吸血鬼？狼人？天使？恶魔？统统干翻！              ",连载中,第267话 合作愉快！
