,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结,漫画地址
0,OLDMAN奥德曼,常胜,台湾漫画,"已完结,冒险",JPG,/press/343_0_qagogzmg_thumb.jpg,17世纪初，在一片由女王统治的大地，无子嗣的女王借由领养平民百姓孤儿，向全国证明平民百姓也可以继承王位。多年以后，原本应该呈现年迈模样的女王又恢复年轻，不老女王的秘密是… ,已完结,https://www.manhuadb.com/manhua/987
1,纸飞机,常胜,台湾漫画,"已完结,科幻",JPG,https://media.manhuadb.com/cartoon/983_cover_sjkkkjta_250x362.jpg,一位宇航员在天空漫步时巧遇一架有着50年历史、书写着文字的纸飞机。 ,已完结,https://www.manhuadb.com/manhua/983
