0,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
32,神兵玄奇Ⅱ,黄玉郎 ,https://mhfm2tel.cdndm5.com/3/2455/2455.jpg,一百年前肆虐江湖的大魔头「玄天邪帝」重现人世，令中原武...,完结,第100卷 ,https://www.dm5.com/manhua-shenbingxuanqi2/
33,霸刀,冯志明 ,https://mhfm4tel.cdndm5.com/1/76/76.jpg,飛驚自小在十三吉祥中的十三刀堂跟隨堂主燕十三學刀，希望...,完结,第800卷 ,https://www.dm5.com/manhua-badao/
34,天龙八部,黄玉郎 ,https://mhfm7tel.cdndm5.com/5/4815/20160907082810_180x240_18.jpg,金庸是武侠小说的王者，黄玉郎是动作漫画的王者，两位合作...,完结,第100回 ,https://www.dm5.com/manhua-tianlongbabu/
35,老夫子,王泽 ,https://mhfm3tel.cdndm5.com/1/820/820_b.jpg,老夫子漫画内的角色时常以不同的身分出现，包括乞丐、政客...,完结,第70卷 ,https://www.dm5.com/manhua-laofuzi/
36,神兵玄奇3.5,黄玉郎 ,https://mhfm9tel.cdndm5.com/3/2690/2690_b.jpg,神兵玄奇3.5漫画 ，‘前传’为承接第二部故事，依然以南宫...,完结,第111卷 ,https://www.dm5.com/manhua-shenbingxuanqi-3-5/
37,寻秦记,廖福成 ,https://mhfm2tel.cdndm5.com/2/1324/1324_b.jpg,寻秦记漫画 ，《寻秦记》故事开始说男主角“项少龙”是一名...,完结,第196-199卷 ,https://www.dm5.com/manhua-xunqinji/
38,绝代双骄,永仁 ,https://mhfm2tel.cdndm5.com/3/2643/2643_b.jpg,"绝代双骄漫画 ，移花宫主邀月因爱成恨,追杀江枫花月奴夫妇...",完结,第567回 ,https://www.dm5.com/manhua-juedaishuangjiao/
39,拳皇97,邓耀荣 ,https://mhfm9tel.cdndm5.com/1/642/642.jpg,"KOF97的人气仍然居高不下，虽然被很多高手鄙视……
“我撞...",完结,第13卷 ,https://www.dm5.com/manhua-quanhuang-97-kof-97/
40,大圣王,邱福龙 ,https://mhfm1tel.cdndm5.com/3/2649/2649.jpg,古开辟，三皇治世，五帝定伦，世界之间，遂分为四大部洲：...,完结,第157卷 ,https://www.dm5.com/manhua-dashengwang/
41,神鵰侠侣,黄玉郎 ,https://mhfm5tel.cdndm5.com/6/5828/20141210154456_180x240_23.jpg,"故事从杨过被郭靖送往全真教习武开始,杨过个性桀骛不驯,因...",完结,第86回 ,https://www.dm5.com/manhua-shendiaoxialv/
42,我是我妻,乱世银娘 ,https://mhfm7tel.cdndm5.com/34/33895/20180309111617_180x240_22.jpg,时光倒流，秋易变成了女孩子，但是在这个时空，依然有一个...,完结,第115回 ,https://www.dm5.com/manhua-woshiwoqi/
43,倚天屠龙记,马荣成 ,https://mhfm9tel.cdndm5.com/2/1829/1829.jpg,张无忌、赵敏、周芷若、张翠山、殷素素这些家传户晓的人物...,完结,第100卷 ,https://www.dm5.com/manhua-yitiantulongji/
44,请别告诉我这是三国正史,黑礁商会房东 ,https://mhfm3tel.cdndm5.com/34/33874/20180408134102_180x240_20.jpg,我莫名其妙手握了一把羽扇，来到了一个与我所知全然不同的...,完结,第126回 ,https://www.dm5.com/manhua-qingbiegaosuwozheshisanguozhengshi/
45,武神凤凰,邓志辉 ,https://mhfm4tel.cdndm5.com/2/1727/1727.jpg,"在武神这部港漫之后的二十万年后, 当时的地球已经残破不堪,...",完结,第138卷 ,https://www.dm5.com/manhua-wushenfenghuang/
46,温瑞安群侠传,司徒剑侨 ,https://mhfm2tel.cdndm5.com/7/6072/6072.jpg,温瑞安群侠传是剑桥集合他多年写画经验，独树一帜的个人风...,完结,第93回 ,https://www.dm5.com/manhua-wenruianqunxiazhuan/
