,标题,作者,类型,是否完结,下载地址,密码,内容,漫画页地址
1395,《夏目友人帐》绿川幸 中文版1-18卷完结 日本漫画JPG,绿川幸,其他,完结,https://pan.baidu.com/share/init?surl=mRCs46lW_I2i0p_SN-O8Eg,uqsj,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-1425"" height=""470"" sizes=""(max-width: 345px) 100vw, 345px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/25100358980.png"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/25100358980.png 460w, https://www.pdf5.net/wp-content/uploads/2019/03/25100358980-220x300.png 220w"" width=""345""/>
  </figure>
 </div>
 <p>
  少年-夏目拥有看的见妖怪的这项秘密。他得到了外婆-铃子留下和妖怪们之间的契约书[联络簿]。从此以后,就陷入被妖怪们追赶的窘境。开始和保镖-猫咪老师一同将名字还给妖怪们的夏目会——？
 </p>
</div>
",https://www.pdf5.net/1424.html
1397,《斩·赤红之瞳》田代哲也 中文版1-78话完结 日本漫画 PDF,田代哲也,其他,完结,https://pan.baidu.com/share/init?surl=MxnhJLRRZLUU0k50cH__rg,u4iz,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-1422"" height=""527"" sizes=""(max-width: 384px) 100vw, 384px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/25100137258.png"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/25100137258.png 512w, https://www.pdf5.net/wp-content/uploads/2019/03/25100137258-218x300.png 218w"" width=""384""/>
  </figure>
 </div>
 <p>
  就如同人会腐朽一样，国家总有一天也会走向毁灭，就连千年繁荣的帝都，也不过只是个腐败的人间地狱，披着人皮的魑魅魍魉，嚣张跋扈的四处横行！天若无能制裁邪恶，我等将会于黑暗之中给予消逝！我等全员，职业杀手团！
 </p>
</div>
",https://www.pdf5.net/1421.html
1399,《噬魂师》大久保笃 中文版1-25卷完结 日本漫画 PDF,大久保笃,其他,完结,https://pan.baidu.com/share/init?surl=NilyYpChMXlf7DnZ326ntA,azuv,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-1416"" height=""614"" sizes=""(max-width: 439px) 100vw, 439px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/25095724678.png"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/25095724678.png 439w, https://www.pdf5.net/wp-content/uploads/2019/03/25095724678-214x300.png 214w"" width=""439""/>
  </figure>
 </div>
 <p>
  介绍：吃掉99个人和1个魔女的灵魂之后，就可以成为「死神的武器」。一个「好色又爱好炫耀」的「工匠」、一个几时都要「有型」的「武器」、一个永远追求「对称」的死神之子…谁能成功制造出「死神武器」？收集灵魂的冒险旅程爆笑展开… …
 </p>
</div>
",https://www.pdf5.net/1415.html
1401,《亚特兰蒂斯传奇》风之飘逸 中文版1-15卷完结 日本漫画JPG,风之飘逸,其他,完结,https://pan.baidu.com/share/init?surl=YlD7ELNTh3iqVeM2imUYmw,eejd,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-1413"" height=""446"" sizes=""(max-width: 371px) 100vw, 371px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/25095434975.png"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/25095434975.png 494w, https://www.pdf5.net/wp-content/uploads/2019/03/25095434975-249x300.png 249w"" width=""371""/>
  </figure>
 </div>
 <p>
  原本是富饶,神秘的大陆,一夜之间,由于黑暗王国的闯入,发生了灾难…大陆的王子侥幸逃出,被一个水手收养着…16年后…王子的生命历程发生了改变….本来一心想挽救大陆的王子,在发生了总总事情之后,会怎么做呢?
 </p>
</div>
",https://www.pdf5.net/1412.html
1403,《逃离伊甸》山田惠庸 中文版1-21卷完结 日本漫画MOBI,山田惠庸,其他,完结,https://pan.baidu.com/share/init?surl=2bSbFR-wkwB-kTVupxIkCQ,herk,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-1410"" height=""455"" sizes=""(max-width: 365px) 100vw, 365px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/25094527245.png"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/25094527245.png 486w, https://www.pdf5.net/wp-content/uploads/2019/03/25094527245-240x300.png 240w"" width=""365""/>
  </figure>
 </div>
 <p>
  <span style=""font-family: &amp;quot;"">
   国三生仙石晃与同学一起参加了学校的毕业旅行，但他们所搭乘的飞机却在从关岛飞回日本的途中发生了意外。 仙石恢复了意识后，发现自己独自身处在丛林之中，举目所见净是些没看过的奇怪生物。 然后，当他找到同班同学真理谷后，从真理谷的电脑发现，出现在岛上的，竟然全是些应该早已绝种的动物！ 不仅如此，连这座
  </span>
  <span style=""font-family: &amp;quot;"">
   座岛屿也不存在於地
  </span>
 </p>
</div>
",https://www.pdf5.net/1409.html
1405,《魔人侦探》松井優征 中文版1-23卷完结 日本漫画 PDF,松井優征,其他,完结,https://pan.baidu.com/share/init?surl=2nYwemHto3WZ31QN1c4JfQ,dc34,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-1407"" height=""479"" sizes=""(max-width: 381px) 100vw, 381px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/25094157510.png"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/25094157510.png 508w, https://www.pdf5.net/wp-content/uploads/2019/03/25094157510-238x300.png 238w"" width=""381""/>
  </figure>
 </div>
 <p>
  <span style=""color: #666666;"">
   <span style=""font-family: &amp;quot;"">
    <span>
     讲述了一个魔界的变种生物脑啮涅罗机缘巧合下胁迫女主角弥子不停探案寻找极致的“迷”转而变成案件侦破高手的故事。整部作品偏向重口味，例如在超能力犯罪中把人打烂变成一个红色的箱子送到家属邮箱里等……不过，也有搞笑的成分比如在侦探事务所里的辫子“茜”，虽然可以扯下来以辫子状单独活动但因为是
    </span>
   </span>
  </span>
  <span>
   <span style=""font-family: &amp;quot;"">
    是本体死在了侦探事务所，所以必须定时插回墙上的正体“充电”（当然辫子的强大之处在于，它还可以插在笔记本电脑上充电OTL）。“谜”所指的就是谜团，在充满恶意（小至恶作剧，大至恨意）的谜团（谋杀事件）解开之时，会释放出大量的能量。主角——魔界的变种生物脑啮涅罗，就是专门吃“谜”为生的魔界异种生物，在吃完了魔界的“谜”之后，来到人间寻找最极致的“谜”。在他刚到人间时正巧遇到因为父亲遭到杀害，而失魂落魄的女主角弥子，于是便露出真面目强迫弥子当她的代理人，并借着弥子的手顺利的解开了数个事件。由于涅罗凭着对于“谜”的敏锐直觉使弥子成为了著名的大侦探，两个人于是成立了一间侦探事务所，共同寻找极致的“谜”
   </span>
  </span>
 </p>
</div>
",https://www.pdf5.net/1405.html
1407,《入间同学入魔了》西修 中文版1-55话完结+ 附录1-4话 日本漫画JPG,西修,其他,完结,https://pan.baidu.com/share/init?surl=jaoXCY0C_fPvS5tiLFUDaA,5kox,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-1403"" height=""512"" sizes=""(max-width: 332px) 100vw, 332px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/25093821129-663x1024.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/25093821129-663x1024.jpg 663w, https://www.pdf5.net/wp-content/uploads/2019/03/25093821129-194x300.jpg 194w, https://www.pdf5.net/wp-content/uploads/2019/03/25093821129-768x1186.jpg 768w, https://www.pdf5.net/wp-content/uploads/2019/03/25093821129.jpg 777w"" width=""332""/>
  </figure>
 </div>
 <p>
  无法拒绝任何拜托的老好人铃木入间，是个从1岁开始就踏入社会、为了金钱东奔西走、在修罗场求升的十四岁少年，他的父母为了金钱将他卖给了恶魔！阴差阳错之下他签下了恶魔契约、进入了恶魔学院、成为了特待生，并且即将与学院第一的新生代表决斗
 </p>
</div>
",https://www.pdf5.net/1402.html
1409,《犬夜叉》高桥留美子 中文版1-56卷完结+特别篇 日本漫画 PDF,高桥留美子,其他,完结,https://pan.baidu.com/share/init?surl=PfX_acZ58lvqSVH2NlyvjQ,ah0o,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-1400"" height=""401"" sizes=""(max-width: 314px) 100vw, 314px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/25093601676.png"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/25093601676.png 418w, https://www.pdf5.net/wp-content/uploads/2019/03/25093601676-235x300.png 235w"" width=""314""/>
  </figure>
 </div>
 <p>
  犬夜叉
  <a class=""relatedlink"" href=""https://www.pdf5.net/category/manhua"" rel=""noopener"" target=""_blank"">
   漫画
  </a>
  ，一开始是女主角阿篱穿越时空回到五百年前的战国时代遇到了半妖犬夜叉，这对冤家为了找齐四魂之玉被迫同行，随着旅程深入剧情核心，衍生出让人惊叹的伏笔，阿篱与前世桔梗的情敌宿命、犬夜叉与同父异母的哥哥杀生丸的恩怨、大魔头奈落的秘密、珊瑚与弥勒无法选择的人生…众多交错的主题，使情节高潮叠起，一波三折，它融合了因果、仇恨、宿命、转世的纠葛情节，冒险、爱情、妖魔、战斗的奇幻场面！
 </p>
</div>
",https://www.pdf5.net/1398.html
1411,《银魂》空知英秋 中文版1-12卷 日本漫画MOBI,空知英秋,其他,完结,https://pan.baidu.com/share/init?surl=sF3e2JwSTPO4e-htaVsbmA,3fbw,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-1396"" height=""647"" sizes=""(max-width: 415px) 100vw, 415px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/25093302726.png"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/25093302726.png 415w, https://www.pdf5.net/wp-content/uploads/2019/03/25093302726-192x300.png 192w"" width=""415""/>
  </figure>
 </div>
 <p>
  作品连载于周刊杂志《周刊少年JUMP》，与日本同步更新，每周周一更新。 在江户时代末期，地球被称为“天人”的神秘异星人来袭。于是地球人与“天人”之间的战争瞬即爆发，为数众多的武者、志士都参与了和“天人”的战斗。
 </p>
</div>
",https://www.pdf5.net/1395.html
1440,《勇气默示录 飞舞的妖精》三鹰ナオ 中文版1-21话完结 日本漫画 PDF,三鹰ナオ,其他,完结,https://pan.baidu.com/share/init?surl=medNjLGRDhYSS5C1BthMTg,ki0b,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-1393"" height=""545"" sizes=""(max-width: 422px) 100vw, 422px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/25093115251.png"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/25093115251.png 562w, https://www.pdf5.net/wp-content/uploads/2019/03/25093115251-232x300.png 232w"" width=""422""/>
  </figure>
 </div>
</div>
",https://www.pdf5.net/1392.html
