,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
24,透视之眼（精修版）,踏雪动漫 ,https://mhfm4tel.cdndm5.com/44/43301/20180719091109_180x240.jpg,率性冲动的平凡少年，一次意外拥有奇特能力的双眼，生活会...,连载中,第247回 ,https://www.dm5.com/manhua-toushizhiyan-jingxiuban/
25,绝世武神,云端漫画：庸亦凡 ,https://mhfm3tel.cdndm5.com/37/36747/20180727114648_180x240.jpg,沉迷开挂，无法自拔,连载中,第314回 朝阳之剑（2）,https://www.dm5.com/manhua-jueshiwushen/
26,捡个校花做老婆,轻漫文化&艾鲁猫 ,https://mhfm5tel.cdndm5.com/48/47083/20191204152834_180x240.jpg,华夏第一战兵罗峰回归都市，成为紫荆中学的最牛插班生！各...,连载中,第77回 当我男朋友吧！,https://www.dm5.com/manhua-jiangexiaohuazuolaopo/
27,重生八万年,掌阅文化 ,https://mhfm8tel.cdndm5.com/52/51529/20190705095204_180x240.jpg,一代强者星尘大帝死于小人之手，意外陨落。醒来时，已是八...,连载中,第54回 逐出学院？,https://www.dm5.com/manhua-chongshengbawannian/
28,逆天剑神,Amber漫研社 ,https://mhfm9tel.cdndm5.com/50/49953/20190509110332_180x240.jpg,泱泱天道，强者无敌，上古丹法，照破山河万朵，焚天宝剑，...,连载中,第155回 血脉图录，举世罕见,https://www.dm5.com/manhua-nitianjianshen/
29,不许拒绝我,火星动漫 ,https://mhfm3tel.cdndm5.com/52/51311/20190625160511_180x240.jpg,【每周六更新】漫画家维权，遭遇对方强势律师，是选择出卖...,连载中,第80回 一个吻,https://www.dm5.com/manhua-buxujujuewo/
30,重生豪门之强势归来,万画筒漫画 ,https://mhfm7tel.cdndm5.com/36/35569/20190809133633_180x240.jpg,既然低调隐忍被欺负，那这次就不可一世吧,连载中,第316回 宴会风波,https://www.dm5.com/manhua-chongshenghaomenzhiqiangshiguilai/
31,兼职神仙,ASK动画 ,https://mhfm3tel.cdndm5.com/47/46959/20181224141540_180x240.jpg,小富即安、脾气惫懒，叶扬天出身名门，却活出了一副韦小宝...,连载中,第166回 拖延时间,https://www.dm5.com/manhua-jianzhishenxian/
32,仙帝归来,掌阅 ,https://mhfm7tel.cdndm5.com/50/49723/20190722092340_180x240.jpg,三年前，云青岩从凡人界意外坠入仙界。三千年后，他成为叱...,连载中,第68回 爷爷云殇,https://www.dm5.com/manhua-xiandiguilai/
33,指染成婚,掌阅漫画 ,https://mhfm2tel.cdndm5.com/37/36661/20190221132342_180x240.jpg,看上了侄子的未婚妻怎么办？,连载中,第216回 你来接我了,https://www.dm5.com/manhua-zhiranchenghun/
34,总裁爹地超给力,掌阅文化 ,https://mhfm6tel.cdndm5.com/52/51530/20190722091652_180x240.jpg,为了夺走她父亲的股权，她被老公和闺蜜联手设局出轨。一纸...,连载中,第57回 喜欢他？,https://www.dm5.com/manhua-zongcaidiedichaogeili/
35,神武天尊,绍兴凰漫 ,https://mhfm6tel.cdndm5.com/54/53158/20190902165015_180x240.jpg,我自虚空而来，举手诸天崩碎，覆手黄泉寂灭；我为魔、为神...,连载中,第96回 ,https://www.dm5.com/manhua-shenwutianzun/
36,穿越西元3000后, 小小作文 ,https://mhfm3tel.cdndm5.com/39/38367/20171127140839_180x240_22.jpg,尘世光影缭乱，只留一人独醉于心,连载中,第272回 怜美的自白3,https://www.dm5.com/manhua-chuanyuexiyuan-3000-hou1/
37,都市之逆天仙尊,绍兴凰漫 ,https://mhfm5tel.cdndm5.com/55/54742/20191113132706_180x240.jpg,道灭神君携九天神石，重生都市，会炼丹，能炼器，懂阵法，...,连载中,第40回 ,https://www.dm5.com/manhua-dushizhinitianxianzun/
38,妖道至尊,乐游映画 ,https://mhfm6tel.cdndm5.com/44/43054/20190605142741_180x240.jpg,"涅槃重生，妖皇再现！
一个傻子驸马，摇身成为妖皇，
妖...",连载中,第184回 完结篇,https://www.dm5.com/manhua-yaodaozhizun1/
39,拐个妈咪带回家,十二章纹 ,https://mhfm8tel.cdndm5.com/55/54778/20191115180534_180x240.jpg,“怎么五年前拱我的人是你，五年之后怎么还是你？！” 白初...,连载中,第27回 绯闻,https://www.dm5.com/manhua-yitaishuangbao-guaigemamidaihuijia/
40,妖者为王,轻漫文化&艾鲁猫 ,https://mhfm2tel.cdndm5.com/46/45401/20181221103309_180x240.jpg,【每周二、五更新】少年萧浪，天生觉醒超级神魂，却被误认...,连载中,第86回 大力出奇迹,https://www.dm5.com/manhua-yaozheweiwang/
41,重生暖婚轻宠妻,阿柯文化、彩曜文化 ,https://mhfm9tel.cdndm5.com/50/49704/20190430103113_180x240.jpg,才华横溢的莫诗意最大的梦想是迎娶高富帅，走上人生巅峰。...,连载中,第108回 上钩,https://www.dm5.com/manhua-chongshengnuanhunqingchongqi/
42,武神主宰,踏雪动漫 ,https://mhfm4tel.cdndm5.com/39/38209/20180727110358_180x240.jpg,一代武神转生成为私生子，看他如何逆袭！,连载中,第364回 ,https://www.dm5.com/manhua-wushenzhuzai/
43,楚医生也要谈恋爱,云端漫画 ：浪里小白熊 ,https://mhfm3tel.cdndm5.com/40/39332/20191012152649_180x240.jpg,我可以爱你吗,连载中,第241回 ,https://www.dm5.com/manhua-chuyishengyeyaotanlianai/
44,万界仙踪,踏雪动漫 ,https://mhfm7tel.cdndm5.com/40/39886/20180719091549_180x240.jpg,人死之后，魂归何处？,连载中,第255回 ,https://www.dm5.com/manhua-wanjiexianzong/
45,地府我开的,飞花工作室 ,https://mhfm1tel.cdndm5.com/43/42066/20190404084506_180x240.jpg,刚被女友甩掉，就变成阎王了！？,连载中,第412回 调虎离山？,https://www.dm5.com/manhua-difuwokaide/
46,神级透视,掌阅文化 ,https://mhfm2tel.cdndm5.com/52/51370/20190628085043_180x240.jpg,一次意外让叶寒拥有了神奇的透视能力，从此他的人生变得丰...,连载中,第54回 查明来历,https://www.dm5.com/manhua-shenjitoushi/
47,宠你入骨：腹黑老公放开我,元气满满工作室  ,https://mhfm2tel.cdndm5.com/50/49966/20190509115329_180x240.jpg,顾氏长女顾若白被妹妹设计陷害，千钧一发之际，突然出现的...,连载中,第129回 ,https://www.dm5.com/manhua-chongnirugu-fuheilaogongfangkaiwo/
48,豪门天价前妻,iCiyuan动漫 闲林 ,https://mhfm7tel.cdndm5.com/37/36385/20190222172948_180x240.jpg,千万不要爱上一个不爱你的男人,连载中,第516回 端倪重现：真正的死因,https://www.dm5.com/manhua-haomentianjiaqianqi/
49,贺少的闪婚暖妻,阿柯文化 图：上天&入地工作组 ,https://mhfm7tel.cdndm5.com/44/43185/20180713153204_180x240.jpg,女人，做好只属于我的觉悟！,连载中,第217回 你老公是我的了,https://www.dm5.com/manhua-heshaodeshanhunnuanqi/
50,网游老婆是修真者,踏雪动漫 ,https://mhfm6tel.cdndm5.com/54/53461/20200117130910_180x240_20.jpg,一次面基，一个大好青年竟被网游中的老婆拉入都市修真界，...,连载中,第20回 归于平静？（下）,https://www.dm5.com/manhua-wangyoulaoposhixiuzhenzhe/
51,完美老公进化论,有鹿文化 ,https://mhfm4tel.cdndm5.com/55/54191/20191021162902_180x240.jpg,【每周三周六更新】“姬！我怀了你的孩子！”“说了多少遍...,连载中,第145回 愚蠢的女人,https://www.dm5.com/manhua-wanmeilaogongjinhualun/
52,玄界之门,凯撒文化 ,https://mhfm4tel.cdndm5.com/53/52162/20190731090352_180x240.jpg,天降神物！异血附体！群仙惊惧！万魔退避！一名从东洲大陆...,连载中,第92回 （2）,https://www.dm5.com/manhua-xuanjiezhimen/
53,中华神医,极光动漫 ,https://mhfm6tel.cdndm5.com/43/42234/20181203114519_180x240.jpg,姑娘你哪不舒服？,连载中,第370回 嘲讽,https://www.dm5.com/manhua-miaoshouxiaocunyi/
