序号,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址,百度盘地址,提取码,是否发布
84,街霸VS拳皇,许景琛 ,https://mhfm2tel.cdndm5.com/5/4471/4471.jpg,同名游戏改编漫画，街霸与拳皇的人悉数登场。由许景琛先生...,完结,第46卷 ,https://www.dm5.com/manhua-jieba-vs-quanhuang/,https://pan.baidu.com/s/1NqqBQMZqUOiyLz2GUeyRVQ,t3mv,
85,七武器,马荣成 ,https://mhfm4tel.cdndm5.com/2/1018/1018.jpg,江湖上有七种武器，各有各的厉害，有些霸道，有些神秘，有...,完结,第67卷 ,https://www.dm5.com/manhua-qiwuqi/,https://pan.baidu.com/s/1jPRrxd8hL0H_uethyA8Qfw,q97s,
86,神雕侠侣,黄展鸣 ,https://mhfm4tel.cdndm5.com/11/10962/10962_b.jpg,这是1998年由黄展鸣先生主笔的新加坡漫画《神雕侠侣》。,完结,13-18卷 ,https://www.dm5.com/manhua-shendiaoxialvx/,,,
87,神兵前传2,黄玉郎 ,https://mhfm5tel.cdndm5.com/3/2157/2157.jpg,新一辑的故事，环绕天竺婆罗门所发生，一个神之国度，有着...,完结,第24卷 ,https://www.dm5.com/manhua-shenbingqianchuan-2/,https://pan.baidu.com/s/1U-6GWMGG5acud8IsF79V-A,jmej,
88,天下无敌小剑仙,黄玉郎 ,https://mhfm7tel.cdndm5.com/5/4682/20141107151355_180x240_19.jpg,天下无敌小剑仙漫画 ，灿放出黄玉郎博士笔下的『醉拳』、『...,完结,第33回 ,https://www.dm5.com/manhua-tianxiawudixiaojianxian/,https://pan.baidu.com/s/1jkLOOhpAMwxeYi8w8zj4vg,a1k7,
89,绯色王城,依欢 ,https://mhfm6tel.cdndm5.com/55/54054/20191017105812_180x240_24.jpg,"血红色的宫殿里，发现不可说的君臣秘密……
大王自南...",完结,第8卷 ,https://www.dm5.com/manhua-feisewangcheng/,,,
90,武神飞天,温日良 ,https://mhfm4tel.cdndm5.com/3/2869/2869_b.jpg,武神飞天漫画 ，天下两大年青强者终于在天空岛展开对决！ ...,完结,第60卷 ,https://www.dm5.com/manhua-wushenfeitian/,https://pan.baidu.com/s/1VMTgmDvsBsBIZ7y1wrKPOQ,mat3,
91,神武纪Ⅱ,马荣成 ,https://mhfm5tel.cdndm5.com/4/3499/20141104134806_180x240_35.jpg,神武纪Ⅱ漫画 ，神武纪Ⅱ,完结,第14回 ,https://www.dm5.com/manhua-shenwuji2/,https://pan.baidu.com/s/1SfG0pFkxQt8pTMmARu_ItQ,famf,
92,神兵前传3,黄玉郎 ,https://mhfm8tel.cdndm5.com/4/3802/3802.jpg,神兵前传系列3！自百多年前天神兵与魔兵湮没，圣盟绿护至邪...,完结,第24回 ,https://www.dm5.com/manhua-shenbingqianchuan-3/,https://pan.baidu.com/s/1k4RJWkDabiIhqrx0RkpX0A,pcmy,
93,龙虎五世第三部,黄玉郎 ,https://mhfm2tel.cdndm5.com/4/3239/3239_b.jpg,龙虎五世第三部漫画 ，六千五百万年以前，主宰着世界的是各...,完结,第38卷 ,https://www.dm5.com/manhua-longhuwushidisanbu/,https://pan.baidu.com/s/1TOr6Q4vR5CNkjbBrg4EPwg,7v3v,
94,少林寺第8铜人外传,邱福龙 ,https://mhfm9tel.cdndm5.com/8/7875/7875.jpg,在乳七索和张君宝合力杀败少林叛徒不杀之后，江湖上一切归...,完结,第16回 闯关,https://www.dm5.com/manhua-shaolinsidi-8-tongrenwaizhuan/,https://pan.baidu.com/s/1pgjBaKS8MD7eb5a9tDCOlw,fh6g,
95,中华英雄2013,邝彬强 ,https://mhfm8tel.cdndm5.com/14/13406/13406_b.jpg,中华英雄2013创刊号，中华英雄乃马荣成80年成名作品，30多...,完结,第28回 ,https://www.dm5.com/manhua-zhonghuayingxiong-2013/,https://pan.baidu.com/s/1FBhkITryxocbIu399an-TA,z7s2,
96,闻香识妻,左岸卡漫 ,https://mhfm2tel.cdndm5.com/37/36214/20180316110956_180x240_22.jpg,他身患奇症，她就是他的药,完结,公告 ,https://www.dm5.com/manhua-wenxiangshiqi/,,,
97,宇久纷华?战国墨者异传,黄俊维 ,https://mhfm7tel.cdndm5.com/22/21771/20161017115947_180x240.jpg,【《宇久纷华》每周一更新，官方微博：黄俊维_宇久纷华；官...,完结,第40回 旅程,https://www.dm5.com/manhua-yujiufenhua/,,,
98,新著龙虎门外传之《皇者之路》,黄玉郎 ,https://mhfm1tel.cdndm5.com/22/21632/20160129100658_180x240_22.jpg,新著龙虎门外传之《皇者之路》黄玉郎新著。。,完结,第20卷 大结局,https://www.dm5.com/manhua-xinzhulonghumenwaichuanzhi-huangzhezhilu/,https://pan.baidu.com/s/1K3rfpAmMh91aFa76Nl3ymQ,dhq9,
99,王小龙传--新龙虎门前传,黄玉郎 ,https://mhfm1tel.cdndm5.com/5/4126/4126.jpg,"《王小龍傳》部份人物介紹: *劍痴(連戰,髮型類似宇內雙痴) ...",完结,第20卷 ,https://www.dm5.com/manhua-wangxiaolongchuan-xinlonghumenqianchuan/,https://pan.baidu.com/s/1FSQBnEBdTwh5pRE1yeObVw,622g,
100,折纸战士F,周显宗 ,https://mhfm4tel.cdndm5.com/38/37196/20170630102604_180x240_17.jpg,欢迎观看折纸战士F漫画：折纸战士f是唯一拥有双重兽人基因...,完结,新折纸宝典 独角飞龙 ,https://www.dm5.com/manhua-zhezhizhanshi-f/,,,
101,龙族,蔡景东 ,https://mhfm7tel.cdndm5.com/4/3937/20141105163357_180x240_25.jpg,龙族漫画 ，龙族,完结,第5回 ,https://www.dm5.com/manhua-longzu/,,,
102,刺皇,邱福龙 ,https://mhfm8tel.cdndm5.com/9/8214/8214.jpg,战国时代，七雄争霸！天下刺客，各怀杀技！独行侠、群体战...,完结,第20回 荆轲刺秦王,https://www.dm5.com/manhua-cihuang/,https://pan.baidu.com/s/1pMIsrGRU_Sdf-D3HvBgD-A,he4g,
103,刀剑笑狂沙,冯志明 ,https://mhfm1tel.cdndm5.com/4/3439/3439_b.jpg,刀剑笑狂沙漫画 ，横小弟之子横祸，见先祖几乎代代是大侠，...,完结,第120回 ,https://www.dm5.com/manhua-daojianxiaokuangsha/,https://pan.baidu.com/s/1UFW84vSztHb85gQChMNWpQ,bh58,
104,神兵前传4,黄玉郎 ,https://mhfm8tel.cdndm5.com/4/3803/3803.jpg,"神兵前传4-玄天邪帝 万年一度的六阴凶元,一丝魔气逃出天网,...",完结,第15回 ,https://www.dm5.com/manhua-shenbingqianchuan-4/,https://pan.baidu.com/s/1YvS36mEHnUUMu3nQIELx5w,bank,
105,东方不败,邱福龙 ,https://mhfm7tel.cdndm5.com/4/3735/3735_b.jpg,东方不败漫画，邱福龙的经典巨作！！！欢迎在线观看！,完结,第52回 ,https://www.dm5.com/manhua-dongfangbubai/,https://pan.baidu.com/s/123ujUxeSjc2vaTasyRLdYw,czyv,
106,神州奇侠,冯志明 ,https://mhfm6tel.cdndm5.com/5/4907/20141107154333_180x240_21.jpg,神州奇侠漫画 ，主人公萧秋水长歌争气，义薄云天，喜结...,完结,第32回 ,https://www.dm5.com/manhua-shenzhouqixia/,,,
107,太子,牛佬 ,https://mhfm8tel.cdndm5.com/6/5610/5610_b.jpg,"牛佬监制,吴兆铭主编 . 继之后 牛佬 又一部香港热血漫画 .",完结,第9回 太子的遗憾,https://www.dm5.com/manhua-taizi/,https://pan.baidu.com/s/1Cfw0RPKkh_df9-IKMXj3UQ,47xy,
108,三国无双,许景琛 ,https://mhfm4tel.cdndm5.com/3/2606/2606_b.jpg,吕布，字奉先，三国第一猛将，人称“人中吕布，马中赤兔”...,完结,第7卷 ,https://www.dm5.com/manhua-sanguowushuang/,https://pan.baidu.com/s/1EiPkbsOnTW77csWE-5qnXw,g9mc,
109,如月车站,郑健和 ,https://mhfm1tel.cdndm5.com/23/22323/20160323112502_180x240_23.jpg,《如月车站》漫画郑健和新著,完结,第3卷 ,https://www.dm5.com/manhua-ruyuechezhan/,,,
110,天煞狂刀,温日良 ,https://mhfm9tel.cdndm5.com/4/3468/3468_b.jpg,"天煞狂刀漫画 ，在我这一生当中,我最重视的就是道义,但我偏...",完结,第48回 ,https://www.dm5.com/manhua-tianshakuangdao/,https://pan.baidu.com/s/1QPdFxSr0QSy8-qDj5J7i_A,riu8,
111,说英雄谁是英雄,叶明发 ,https://mhfm3tel.cdndm5.com/4/3462/3462_b.jpg,说英雄谁是英雄漫画 ，王小石是一个平凡的人，当他在金风细...,完结,第16回 ,https://www.dm5.com/manhua-shuoyingxiongshuishiyingxiong/,https://pan.baidu.com/s/1DUsKKA9-dMw6uglTC8x71w,aibu,
112,一零八,司徒剑侨 ,https://mhfm9tel.cdndm5.com/16/15176/15176_b.jpg,《浪客一零八》讲述一群空有大志和本领的奇人异士，因为时...,完结,第20-21回 ,https://www.dm5.com/manhua-yilingba/,https://pan.baidu.com/s/1kxSu8Q6wecGMtFS--NGrfA,fbpm,
113,三国神兵,叶明发 ,https://mhfm5tel.cdndm5.com/6/5774/5774.jpg,"天下大势,分久必合,合久必发,周朝未年七国纷争,最后秦国一...",完结,第25回 ,https://www.dm5.com/manhua-sanguoshenbing/,https://pan.baidu.com/s/1wWMiSkU3Ehmlbj1aAhn7Ow,34cg,
114,拳皇新传,永仁 ,https://mhfm1tel.cdndm5.com/3/2041/2041.jpg,『越是接近，越是難掩心情的痛苦。』 一名紅色頭髮，紅色的...,完结,第8卷 ,https://www.dm5.com/manhua-quanhuangxinchuan-kof-xinchuan/,https://pan.baidu.com/s/13RQB5edMqpAFTfdk-AGTzA,wgs9,
115,老夫子水浒传,王泽 ,https://mhfm7tel.cdndm5.com/8/7968/7968.jpg,老夫子水浒传以前的经典港漫,完结,第4卷 ,https://www.dm5.com/manhua-laofuzishuihuzhuan/,,,
116,红太阳,邱瑞新 ,https://mhfm6tel.cdndm5.com/11/10355/10355_b.jpg,典型香港江湖格斗漫画,完结,第34回 ,https://www.dm5.com/manhua-hongtaiyang/,https://pan.baidu.com/s/1zJQ2Jhyj9cmINTRFky5nlw,wg22,
117,陆小凤,蔡景东 ,https://mhfm5tel.cdndm5.com/4/3557/3557.jpg,武林世界中的大侦探，著名的「四道眉毛」是其外形特征。机...,完结,第23回 ,https://www.dm5.com/manhua-luxiaofeng/,https://pan.baidu.com/s/132W_U9DyEqczCLCkRM0_Bg,itrz,
118,大霹雳,郑问 ,https://mhfm1tel.cdndm5.com/1/224/224.jpg,"大霹雳是一个神话故事,关于人、神与魔或正与邪相争的桥段。...",完结,第12卷 ,https://www.dm5.com/manhua-dapili/,https://pan.baidu.com/s/1aeqKsvsss-EwLGJj47LmzQ,jx67,
119,仙剑奇侠传,易水翔麟 ,https://mhfm8tel.cdndm5.com/2/1318/1318.jpg,根据当年曾感动整个华语圈的经典电脑游戏《仙剑奇侠传》改...,完结,第9卷 ,https://www.dm5.com/manhua-xianjianqixiachuan/,https://pan.baidu.com/s/15V9VcKB6uQ8m7bZs8JvEvg,f539,
120,拳斗,叶明发 ,https://mhfm1tel.cdndm5.com/4/3493/20141031163918_180x240_33.jpg,拳斗漫画 ，拳斗,完结,第41回 ,https://www.dm5.com/manhua-quandou/,https://pan.baidu.com/s/1NqpaGqQF-X7yUJ-QFo15eg,tsyv,
121,街霸4,许景琛 ,https://mhfm1tel.cdndm5.com/7/6163/6163.jpg,"赤目司令把所有生物的力量数据收集,开发出一式威力巨大的招...",完结,第15回 ,https://www.dm5.com/manhua-jieba-4/,https://pan.baidu.com/s/1JaMV9D-LPzNbYopPbVS8Bg,3581,
122,生化危机ZERO,许景琛 ,https://mhfm8tel.cdndm5.com/3/2555/2555_b.jpg,CAPCOM授权的正统生化系列故事漫画，玉郎集团的漫画风格与...,完结,第6卷 ,https://www.dm5.com/manhua-shenghuaweiji-zero/,https://pan.baidu.com/s/1MB-h_wVI2FW2P6t7zx8Bzg,9bc2,
123,刀剑笑,刘定坚 ,https://mhfm1tel.cdndm5.com/4/3471/3471.jpg,,完结,第8回 ,https://www.dm5.com/manhua-daojianxiao/,https://pan.baidu.com/s/1FbQf8F0z7CM-1g7nnrUFEw,djii,
124,神兵大帝,宝乐天尊 ,https://mhfm7tel.cdndm5.com/8/7040/20160901150111_180x240_26.jpg,黄玉郎神兵玄奇系列最新作品喜欢神兵玄奇的朋友不要错过！...,完结,第12回 ,https://www.dm5.com/manhua-shenbingdadi/,https://pan.baidu.com/s/14iQmdRudR7wcUukzDPkCkw,yzev,
125,你遇到的妖怪都是我,万画筒漫画 ,https://mhfm2tel.cdndm5.com/37/36176/20180719171201_180x240.jpg,【万画筒漫画出品】【每周四更新】立志从NPC转正成为公司游...,完结,第23回 ,https://www.dm5.com/manhua-niyudaodeyaoguaidushiwo/,,,
126,真命天子,赖有贤 ,https://mhfm2tel.cdndm5.com/4/3573/3573.jpg,"居于太乙山云仙居的世外高人太乙真人忧心天下,命二名爱徒算...",完结,第16卷 ,https://www.dm5.com/manhua-zhenmingtianzi/,https://pan.baidu.com/s/12qcyosn0CRUf6KDji8YIsA,erie,
127,神兵前传5,黄玉郎 ,https://mhfm7tel.cdndm5.com/4/3804/3804.jpg,"神兵前传系列5！
铁心因故失踪，下落不明？！
问天与太平...",完结,第8回 ,https://www.dm5.com/manhua-shenbingqianchuan-5/,https://pan.baidu.com/s/17pQIc6GHRQYSi-bn79iCcQ,wthh,
128,少年刀剑笑,冯志明 ,https://mhfm9tel.cdndm5.com/4/3470/20141031143400_180x240_25.jpg,少年刀剑笑漫画 ，刀.剑.笑创作至今，已十多年的历史了，而...,完结,第64回 ,https://www.dm5.com/manhua-shaoniandaojianxiao/,https://pan.baidu.com/s/1ToWq_dqjerMIXyhiEhnlLw,saqe,
129,折纸战士X,周显宗 ,https://mhfm9tel.cdndm5.com/19/18631/20150616113416_180x240_30.jpg,在混沌神——轧德的大破坏事件之后，小哲与小莲跟着卡米一...,完结,第1卷 ,https://www.dm5.com/manhua-shezhizhanshi-x/,,,
130,大侠传奇,冯志明 ,https://mhfm2tel.cdndm5.com/7/6674/6674_b.jpg,大侠传奇漫画故事讲述的是在六年前，峨嵋金顶。一场震惊武...,完结,第52回 ,https://www.dm5.com/manhua-daxiachuanqi/,https://pan.baidu.com/s/1su0t8IY4mfVkHsCs83wgeg,tugs,
131,鹿鼎记,林政德 ,https://mhfm2tel.cdndm5.com/2/1523/1523_b.jpg,鹿鼎记漫画 ，《鹿鼎记》小说名字的含义为：“逐鹿中原、问...,完结,第26卷 ,https://www.dm5.com/manhua-ludingji1523/,https://pan.baidu.com/s/1kRCKPRS2hgnLzLF5hfALdQ,7j74,
132,水浒传,梁伟家 ,https://mhfm9tel.cdndm5.com/8/7828/7828.jpg,洪太尉误放妖魔:北宋仁宗嘉祜三年（1059）春，天下瘟疫盛行...,完结,第5卷 ,https://www.dm5.com/manhua-shuihuzhuan/,https://pan.baidu.com/s/1EjQcezKKYAx-nJB68iaUSQ,43j3,
133,古龙豪侠传,许景深 ,https://mhfm2tel.cdndm5.com/3/2465/2465_b.jpg,古龙豪侠传漫画 ，又是一套号称“投资百万”的作品！在“买...,完结,第21-30卷 ,https://www.dm5.com/manhua-gulonghaoxiachuan/,https://pan.baidu.com/s/1e0IlJLMd0RH0J_fsKKmDLg,hpea,
134,封神,蔡景东 ,https://mhfm5tel.cdndm5.com/4/3438/3438_b.jpg,封神漫画 ， 神与魔的奥秘，千百年来皆成为无数学者研究探...,完结,第55回 ,https://www.dm5.com/manhua-fengshen/,https://pan.baidu.com/s/1P3ijPxSLzksU2qp-0FydoQ,mbrk,
135,X暴族I,冯志明 ,https://mhfm6tel.cdndm5.com/4/3069/3069_b.jpg,"X暴族I漫画 ，在世纪末的舞台上,人类的命运和世界的存亡将...",完结,第64-69卷 ,https://www.dm5.com/manhua-x-baozu-i/,https://pan.baidu.com/s/1Ur2QNVDWBnskMSTBFBmTkQ,dufg,
136,电影龙虎门,黄玉郎 ,https://mhfm3tel.cdndm5.com/4/3595/3595.jpg,故事讲的是王小虎、王小龙、石黑龙三个年轻人创办拳馆，有...,完结,第18回 ,https://www.dm5.com/manhua-dianyinglonghumen/,https://pan.baidu.com/s/1JkhKafd79bUIA1aHgG0Mig,iyvg,
137,海虎无限+武神凶兽,温日良 ,https://mhfm2tel.cdndm5.com/13/12977/12977_b.jpg,海虎无限\武神凶兽联合创刊号，欢迎在线观看！,完结,第48回 ,https://www.dm5.com/manhua-haihuwuxian-wushenxiongshou/,https://pan.baidu.com/s/1Fl4uiLg-5P_Otv_UUY8W_A,9vy7,
138,凶兽狂刀,海洋二号 ,https://mhfm4tel.cdndm5.com/4/3436/3436.jpg,,完结,第36回 ,https://www.dm5.com/manhua-xiongshoukuangdao/,https://pan.baidu.com/s/1Dzd7I0n0fd72LGeekcn9Ow,xa4d,
139,魔神传III,郑健和 ,https://mhfm6tel.cdndm5.com/1/679/679.jpg,玄武！战国时代，一位风云大将，纵横天下，无人不畏惧。然...,完结,第33卷 ,https://www.dm5.com/manhua-moshenchuan-iii/,https://pan.baidu.com/s/1iwBjwqEHbhyBFItCoFmYGA,xjzb,
140,幻城,司徒剑桥 ,https://mhfm8tel.cdndm5.com/9/8043/8043.jpg,郭敬明小说改编漫画。卡索和樱空释，玄幻地拥立在漫天飞舞...,完结,第16回 绝强相遇.忘情一战,https://www.dm5.com/manhua-huancheng/,https://pan.baidu.com/s/1xNONObG_6OlInco27awfNA,wfh5,
141,红棍王,邱瑞新 ,https://mhfm5tel.cdndm5.com/5/4870/20141107152259_180x240_22.jpg,"红棍王漫画 ，和古惑仔一样,很不良,很热血",完结,第11回 ,https://www.dm5.com/manhua-honggunwang/,https://pan.baidu.com/s/11tgwo5yEasvsgCq1AsqkIQ,kk5g,
142,刀剑新传,永仁 ,https://mhfm8tel.cdndm5.com/4/3418/3418_b.jpg,刀剑新传漫画 ，超越当年创作《中华英雄》时的22万本销量！...,完结,第37卷 ,https://www.dm5.com/manhua-daojianxinchuan/,https://pan.baidu.com/s/1xsHAqzrIQq9gVu2V4z4oJg,dgj1,
143,新四大名捕,司徒剑桥 ,https://mhfm1tel.cdndm5.com/14/13895/13895_b.jpg,新四大名捕，司徒剑桥，温瑞安，一漫年出版有限公司2013年...,完结,第8回 四大名捕斗将军,https://www.dm5.com/manhua-xinsidamingbu/,https://pan.baidu.com/s/1XjoDFzXh5dT3YbUDWwmoAg,4q5n,
144,雪山飞狐,马荣成 ,https://mhfm1tel.cdndm5.com/4/3445/3445_b.jpg,雪山飞狐漫画 ，末清初，李自成兵败九宫山。为图东山再起，...,完结,第20回 ,https://www.dm5.com/manhua-xueshanfeihu/,https://pan.baidu.com/s/1pU0R_P6WQB-QnBsTxxRbxQ,2ubd,
145,叶问前传,牛佬 ,https://mhfm8tel.cdndm5.com/8/7046/20160831134528_180x240_22.jpg,叶问前传漫画改编自目前正在拍摄制作的同名电影，预计2010...,完结,第20回 ,https://www.dm5.com/manhua-yewenqianzhuan/,https://pan.baidu.com/s/1oQJFIvTQ0yRZbxRtVXMopg,n5jt,
146,蜀山剑侠传,许景琛 ,https://mhfm5tel.cdndm5.com/4/3882/20141105161420_180x240_32.jpg,蜀山剑侠传漫画.蜀山剑侠传,完结,第24回 ,https://www.dm5.com/manhua-shushanjianxiachuan/,https://pan.baidu.com/s/1EUIMdrCslC54Md5hTzELtw,95xa,
147,天使迷梦,游素兰 ,https://mhfm6tel.cdndm5.com/2/1646/1646_b.jpg,回声是一个害羞的女生，一天，她和3位好友慕名去了一家神秘...,完结,第6卷 ,https://www.dm5.com/manhua-tianshimimeng/,,,
148,风流,叶明发 ,https://mhfm6tel.cdndm5.com/10/9816/9816.jpg,1.这个世界有五大杀手组织，「零」就是当中最庞大的，而「...,完结,第8回 ,https://www.dm5.com/manhua-fengliu/,https://pan.baidu.com/s/1RE6FxvYn4hCLe3PZeqFJmQ,34xp,
149,魔武渡,邝彬强 ,https://mhfm2tel.cdndm5.com/16/15870/15870_b.jpg,魔武渡漫画 ， 魔武渡漫画简介：邝彬强继又一武侠动作题材...,完结,第22回 最终回,https://www.dm5.com/manhua-mowudu/,https://pan.baidu.com/s/1FmDSqXnWbVfmi8ND3uE1hg,jnt7,
150,神掌龙九州,牛佬 ,https://mhfm1tel.cdndm5.com/9/8174/8174.jpg,风雨雷电惊大地，如来神掌震九州！十八年前，龙剑飞于被天...,完结,第10回 同归于尽,https://www.dm5.com/manhua-shenzhanglongjiuzhou/,https://pan.baidu.com/s/1pDYTejiYg4UVs5jOXFbE9g,6sbw,
151,风云2电影漫画版,马荣成 ,https://mhfm8tel.cdndm5.com/7/6708/20160902152745_180x240_21.jpg,"风云Ⅱ电影漫画 
第001回-万剑归宗(创刊号) 
风云2电影漫...",完结,第5回 ,https://www.dm5.com/manhua-fengyun-2-dianyingmanhuaban/,https://pan.baidu.com/s/1HZC4dFITLjMrUFK8FJx2yg,f8ma,
152,中华英雄外传,叶明发 ,https://mhfm6tel.cdndm5.com/5/4932/4932.jpg,"华英雄命犯天煞孤星,父母为土豪恶霸所害,他带着家传之宝「...",完结,第16卷 ,https://www.dm5.com/manhua-zhonghuayingxiongwaichuan/,https://pan.baidu.com/s/1q5-gMf8XDXK9XcjOYbYS5A,g7xu,
153,风雷1,温日良 ,https://mhfm3tel.cdndm5.com/4/3800/3800.jpg,温日良经典作品！世纪末日如期而至，世界随着核子战争而终...,完结,第40回 ,https://www.dm5.com/manhua-fenglei-1/,https://pan.baidu.com/s/10INmz7QPnAvVShkqJZHsJQ,hqeu,
154,卫斯理I,许景琛 ,https://mhfm8tel.cdndm5.com/4/3075/3075_b.jpg,卫斯理与白素 卫斯理这回遇上中国势力最大的帮会－青帮，而...,完结,第1-17卷 ,https://www.dm5.com/manhua-weisili-i/,https://pan.baidu.com/s/1XFSSzyjCKJ9eDwYgboOqow,p67v,
155,香港10大奇案,钟国光 ,https://mhfm7tel.cdndm5.com/4/3873/3873_b.jpg,香港10大奇案漫画 ，香港十大奇案，因为是真事，所以有点恐...,完结,第4回 ,https://www.dm5.com/manhua-xianggang-10-daqian/,https://pan.baidu.com/s/1nY98BQ64I-EepwbdPdf-bQ,e26p,
156,神王,马荣成 ,https://mhfm6tel.cdndm5.com/4/3730/20141104160246_180x240_18.jpg,"神王漫画 ，许久以前,星空之下有一个传说,有人说地球上的海...",完结,第9回 ,https://www.dm5.com/manhua-shenwang/,,,
157,立花正仁,伦裕国 ,https://mhfm3tel.cdndm5.com/8/7837/7837.jpg,古惑仔系列虚构人物，人气比古惑仔系列主角陈浩南还高。为...,完结,第30回 ,https://www.dm5.com/manhua-lihuazhengren/,https://pan.baidu.com/s/1lqr8E6Ck0clUzLVneRixBg,mebi,
158,邪神,曹志豪 ,https://mhfm5tel.cdndm5.com/3/2330/2330_b.jpg,邪神漫画 ，当年，我出道不久，江湖中人，便替我取了一个外...,完结,第20卷 ,https://www.dm5.com/manhua-xieshen/,https://pan.baidu.com/s/1y4XO4RuOTS1I4RlhTzd1eg,v8pm,
159,诸葛孔明,李志清 ,https://mhfm3tel.cdndm5.com/4/3860/3860_b.jpg,青山依旧在几度夕阳红...白发渔樵江渚上...惯看秋月春风......,完结,第13卷 ,https://www.dm5.com/manhua-zhugekongming/,https://pan.baidu.com/s/1OyywtutTOTnXck0YasnVgA,7bgg,
160,神之领域,司徒剑桥 ,https://mhfm2tel.cdndm5.com/5/4791/4791.jpg,每个人生下来便有其个人独特的「生命密码」。它主宰你的平...,完结,第37回 ,https://www.dm5.com/manhua-shenzhilingyu/,https://pan.baidu.com/s/15x5zLq-bMN2Djmbxx4VX8g,b2wh,
161,天下无敌剑邪神,叶明发 ,https://mhfm4tel.cdndm5.com/7/6284/6284.jpg,"那年，天狗蚀日，江湖血雨腥风…… 
就连天下第一名刹少林...",完结,第8回 ,https://www.dm5.com/manhua-tianxiawudijianxieshen/,https://pan.baidu.com/s/1wgEme9CHi5zhgkCnl7Mrrw,7hwa,
162,龙少年,永仁 ,https://mhfm9tel.cdndm5.com/4/3824/3824.jpg,宇宙，浩瀚庞大，包含着无限的一切，相比起来地球是何等的...,完结,第59回 ,https://www.dm5.com/manhua-longshaonian/,https://pan.baidu.com/s/1O0jub5RCn9sZddX-h-WorQ,phqu,
163,精武门,任红 ,https://mhfm6tel.cdndm5.com/5/4675/4675_b.jpg,精武门漫画 ，来自异界的段大郎其实是异界皇族的遗孤。某天...,完结,第5卷 ,https://www.dm5.com/manhua-jingwumen4675/,https://pan.baidu.com/s/1Vk_eE1y2Uuu8dAyvGITs2Q,55rd,
164,蝎王,许景琛 ,https://mhfm5tel.cdndm5.com/4/3871/3871_b.jpg,蝎王漫画 ，依旧是生化变身人的故事! 欢迎在线观看！,完结,第52回 ,https://www.dm5.com/manhua-xiewang/,https://pan.baidu.com/s/1yOvq3G_-I1A9SOWbadgq9g,y9qy,
165,拳道,司徒剑桥 ,https://mhfm1tel.cdndm5.com/14/13056/13056_b.jpg,拳道漫画，司徒剑桥2013年作品，背景是上世纪70年代香港，...,完结,第12回 约誓一战,https://www.dm5.com/manhua-quandao/,https://pan.baidu.com/s/1zcWTXLNEhh-nFLmTIzSHAQ,dcps,
166,秦始皇,邱瑞新 ,https://mhfm4tel.cdndm5.com/8/7760/7760.jpg,邱瑞新最新作品，以港漫角度书写《秦始皇》一统六国之外的...,完结,第13回 勇者无惧,https://www.dm5.com/manhua-qinshihuang/,https://pan.baidu.com/s/1Jza66WR6Uhho5dN6hJPHsA,a6yq,
167,大灾难师,一锋 ,https://mhfm8tel.cdndm5.com/46/45115/20181115080432_180x240_26.jpg,香港，即将面临一场突如其来的灾难,完结,第31回 最强的风（下）,https://www.dm5.com/manhua-dazainanshi/,,,
168,书剑恩仇录,何志文 ,https://mhfm4tel.cdndm5.com/4/3810/3810.jpg,清乾隆年间，江南武林帮会红花会总舵主于万亭带同四当家(奔...,完结,第30回 ,https://www.dm5.com/manhua-shujianenchoulu/,https://pan.baidu.com/s/12Tpq1Ul43W_AScUx3BtZ2w,vicu,
169,天煞狂刀第二章,海洋二号 ,https://mhfm6tel.cdndm5.com/2/1642/1642_b.jpg,天煞狂刀第二章漫画 ，武林就是一个变换无常，能者倍出之地...,完结,第24卷 ,https://www.dm5.com/manhua-tianshakuangdaodierzhang/,https://pan.baidu.com/s/1wYFE_zoqlMA38yh3gyNu9A,g7yv,
170,轩辕剑,蔡景东 ,https://mhfm7tel.cdndm5.com/2/1351/1351.jpg,女娲以五彩石的精华，赋予地心奇铁身上，为黄帝铸出一把绝...,完结,第18卷 ,https://www.dm5.com/manhua-xuanyuanjian/,https://pan.baidu.com/s/15pVM4H5gfzE_hLHjiZX5eA,21tk,
171,战谱,邝彬强 ,https://mhfm9tel.cdndm5.com/18/17588/20150407165705_180x240_23.jpg,兰陵王漫画：公元前十二世纪，姜子牙请天将助周武王姬发讨...,完结,第20回 主宰天下,https://www.dm5.com/manhua-zhanpu/,https://pan.baidu.com/s/1sxlay2wiqGpX_s3wgp7PGg,4udu,
172,李小龙·截拳,曹志豪 ,https://mhfm2tel.cdndm5.com/17/16211/16211_b.jpg,李小龙·截拳漫画 ，李小龙·截拳漫画：李小龙·截拳漫画：继...,完结,第12回 ,https://www.dm5.com/manhua-lixiaolong-jiequan/,https://pan.baidu.com/s/1Wv8btTP15ImuihYsbyK3rg,dxvi,
173,侍魂天草降临,陈伟文 ,https://mhfm9tel.cdndm5.com/4/3779/3779.jpg,"人称为“鬼”的壬无月·斩红郎站在大道上,他要让尸体堆满眼...",完结,第22回 ,https://www.dm5.com/manhua-shihuntiancaojianglin/,https://pan.baidu.com/s/1sXyPSiPPDbe8oqiyVCEC1Q,xm59,
