,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
25,苏生战铳2（全彩版）,马逊 ,https://mhfm7tel.cdndm5.com/42/41666/20180715000445_180x240_27.jpg,在REAL等人于黑市斗场中与众强战斗的同时，苏械之王巴登、...,连载中,第12回 番外知逊,https://www.dm5.com/manhua-sushengzhanchong-ii/
26,大唐玄笔录,练任 ,https://mhfm3tel.cdndm5.com/22/21132/20160302102105_180x240.jpg,大唐盛世，天下太平。却不知，这也是个人妖浑浊的时代。画...,连载中,第53回 致粉丝,https://www.dm5.com/manhua-datangxuanbilu/
27,覆雨翻云,廖福成 ,https://mhfm7tel.cdndm5.com/1/299/299_b.jpg,朝开国之初的历史为背景，讲述蒙古族后人风行烈与生死兄弟...,连载中,第22卷 ,https://www.dm5.com/manhua-fuyufanyun/
28,假面骑士OOO,石之森章太郎 ,https://mhfm7tel.cdndm5.com/23/22417/20160401231853_180x240_17.jpg,假面骑士OOO漫画 ，假面骑士系列！假面骑士OOO挑战全新硬币...,连载中,第2卷 ,https://www.dm5.com/manhua-jiamianqishi-ooo/
29,长生界,魅丽漫画馆 ,https://mhfm6tel.cdndm5.com/37/36609/20180628094014_180x240.jpg,来吧，战个痛快！,连载中,第71回 （3）,https://www.dm5.com/manhua-changshengjie/
30,魔星双龙传,弟罗尔 ,https://mhfm8tel.cdndm5.com/37/36784/20170602133133_180x240.jpg,龙，能大能小，能升能隐；大则兴云吐雾，小则隐介藏形；升...,连载中,第79回 终章,https://www.dm5.com/manhua-moxingshuanglongzhuan/
31,天界无限,黄展鸣 ,https://mhfm6tel.cdndm5.com/19/18095/20150414092019_180x240_21.jpg,TCZ 制作社是新加坡唯一的本土制作出版社，以出版黄展鸣创...,连载中,第14卷 ,https://www.dm5.com/manhua-tianjiewuxian/
32,STAR IDOL 星際偶像,袁生 ,https://mhfm2tel.cdndm5.com/23/22965/20170308083642_180x240.jpg,萌系偶像大作,连载中,第51回 大結局,https://www.dm5.com/manhua-star-idol-xingjiouxiang/
33,密集黑洞,五彩石MCS漫画社 ,https://mhfm9tel.cdndm5.com/42/41557/20180706152310_180x240.jpg,密集恐惧症……勿点……,连载中,第155回 黄烟沟（二）,https://www.dm5.com/manhua-mijiheidong/
34,暗界追冥狩,杨怀滨 ,https://mhfm6tel.cdndm5.com/21/20874/20170126083916_180x240.jpg,【《暗界追冥狩》每周四更新，官方微博：杨怀滨-暗界追冥狩...,连载中,2017新春贺图 ,https://www.dm5.com/manhua-anjiezhuimingshou/
35,殺手都市,Ryan Liu ,https://mhfm4tel.cdndm5.com/52/51096/20190617164246_180x240.jpg,开膛手都市杀手林立，整体佔80%，而其中被誉为「杀手王」艾...,连载中,第1回 ,https://www.dm5.com/manhua-shashoudushi/
,,,,,,,
