,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
23,Re：Monster,小早川ハルヨシ ,https://mhfm5tel.cdndm5.com/17/16644/20180116111423_180x240_20.jpg,在一天夜里突然被妹妹跟踪杀死的伴杭彼方，突然发现自己已...,连载中,第57话 ,https://www.dm5.com/manhua-re-monster/
24,妖精的尾巴 百年任务,真岛浩 ,https://mhfm9tel.cdndm5.com/44/43567/20180729092036_180x240_28.jpg,从本应完结的545话再次出发，延续下去的全新故事！,连载中,第49话 最后的晶体,https://www.dm5.com/manhua-yaojingdeweiba-bainianrenwu/
25,我是村民 有意见？,鲭梦 ,https://mhfm4tel.cdndm5.com/37/36982/20180919205847_180x240_24.jpg,我是村民 有意見？漫画 ，最适合转生到充满龙与哥布林的异...,连载中,第28话 撒西米马斯攻防战（1）：鬼帝,https://www.dm5.com/manhua-woshicunmin-youyijian/
26,BEASTARS,板垣巴留 ,https://mhfm1tel.cdndm5.com/36/35061/20190718000629_180x240_25.jpg,这是一个肉食动物和草食动物共存的世界。在这里，充满着希...,连载中,第149话 ,https://www.dm5.com/manhua-beastars/
27,六道的恶女们,中村勇志  ,https://mhfm7tel.cdndm5.com/32/31891/20190327131449_180x240_24.jpg,六道的恶女们漫画 ，在这个全是混混的学校，苦逼少年六道获...,连载中,第176话 樱花随风飘落,https://www.dm5.com/manhua-liudaodeenvmen/
28,网购技能开启异世界美食之旅,赤岸K ,https://mhfm7tel.cdndm5.com/37/36062/20181129180252_180x240_23.jpg,这是利用网购技能，四处游走，煮饭收服神奇宝…神兽和后宫...,连载中,第24话 ,https://www.dm5.com/manhua-wanggoujinengkaiqiyishijiemeishizhilv/
29,Lady Baby ,佚名  ,https://mhfm8tel.cdndm5.com/52/51648/20190710200032_180x240_22.jpg,前世的卡利歐佩，歷經家人慘死、戰亂流離，過去無法拯救任...,连载中,第51话 ,https://www.dm5.com/manhua-lady-baby/
30,五等分的花嫁,春场ねぎ ,https://mhfm2tel.cdndm5.com/35/34949/20190315115854_180x240_20.jpg,终有一日，五个新娘会嫁给你！,连载中,第104话 ,https://www.dm5.com/manhua-wudengfendehuajia/
31,八男？别闹了！,楠本弘树  ,https://mhfm5tel.cdndm5.com/19/18752/20190915215629_180x240_27.jpg,排名第八的男人，不是什么都没有吗？,连载中,第44话 新的委托,https://www.dm5.com/manhua-paimingdibadenanren-bushishenmedoumeiyouma/
32,The New Gate,风波しのぎ ,https://mhfm1tel.cdndm5.com/21/20734/20151021200206_180x240_26.jpg,thenewgate漫画 ，在几万人被卷入的在线死亡游戏游戏「THE ...,连载中,第49话 ,https://www.dm5.com/manhua-the-new-gate/
33,极主夫道,おおのこうすけ ,https://mhfm6tel.cdndm5.com/41/40946/20180226181331_180x240_23.jpg,元·最强黑帮老大所选的，是一条（坎坷的）家庭主夫之路——...,连载中,第44话 ,https://www.dm5.com/manhua-jizhufudao/
34,网购技能开启异世界美食之旅 水水的大冒险,江口连 ,https://mhfm7tel.cdndm5.com/45/44786/20180826000149_180x240_20.jpg,被看似美味的料理吸引而来的魔物，是个不怕人的嘴馋史莱姆x...,连载中,第23话 崭新的皮包和小猫仔,https://www.dm5.com/manhua-wanggoujinengkaiqiyishijiemeishizhilv-shuishuidedamaoxian/
