,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
24,钢铁侠2020,Marvel Comics ,https://mhfm9tel.cdndm5.com/57/56643/20200115221802_180x240_21.jpg,新的一年，新的钢铁侠，当AI托尼被认定为假货扫地出门，他...,连载中,第3话 ,https://www.dm5.com/manhua-gangtiexia-2020/
25,黑暗正义联盟,DC Comics ,https://mhfm8tel.cdndm5.com/44/43434/20180725192727_180x240_27.jpg,新正义时代的又一本重要刊物到来。随着起源墙的破裂，欧米...,连载中,第19话 ,https://www.dm5.com/manhua-heianzhengyilianmeng1/
26,死颅一箩筐 ,DC Comics  ,https://mhfm9tel.cdndm5.com/57/56369/20200102170526_180x240_16.jpg,"海鸥在海湾上空尖叫
一个穿着雨衣的修长身影提着一个大柳...",连载中,第4话 ,https://www.dm5.com/manhua-siluyiluokuang/
27,神奇女侠v5,DC Comics ,https://mhfm2tel.cdndm5.com/30/29953/20190628220501_180x240_23.jpg,剧情紧接重生，女侠深入雨林深处，似乎是去寻找…曾经的一...,连载中,第83话 ,https://www.dm5.com/manhua-shenqinvxia-v-5/
28,浪人岛,Boom ,https://mhfm3tel.cdndm5.com/53/52139/20190729085032_180x240_16.jpg,三十年前，日本经历了一场浩劫，此后，冈本健次等人认为幕...,连载中,第6话 ,https://www.dm5.com/manhua-langrendao/
29,守望者,DC Comics ,https://mhfm7tel.cdndm5.com/7/6152/20180901153725_180x240_19.jpg,"中文名: 守望者 
英文名: Watchmen 
别名: 守护者 
版本...",连载中,第12话 ,https://www.dm5.com/manhua-shouwangzhe/
30,早乙女选手躲躲藏藏,水口尚树  ,https://mhfm7tel.cdndm5.com/36/35095/20170214164528_180x240_21.jpg,早乙女选手躲躲藏藏漫画 ，水口尚树继《爱上熟女》后又一力...,连载中,第4话 早乙女选手跑圈,https://www.dm5.com/manhua-zaoyinvxuanshouduoduocangcang/
31,环太平洋 ,legendary  ,https://mhfm1tel.cdndm5.com/22/21063/20151126092543_180x240_20.jpg,环太平洋漫画 ，电影环太平洋衍生漫画，讲述过去关于沉默浪...,连载中,第4卷 ,https://www.dm5.com/manhua-huantaipingxiang/
32,新52蝙蝠侠与罗宾,DC Comics ,https://mhfm9tel.cdndm5.com/9/8358/20150324110920_180x240_28.jpg,神出鬼没的蝙蝠侠，这回将面临毕生中最强劲的对手——急冻...,连载中,起源·1997 ,https://www.dm5.com/manhua-bianfuxiayuluobin/
33,有什么在杀死孩子们,boom ,https://mhfm7tel.cdndm5.com/55/54146/20191019183724_180x240_17.jpg,当阿切尔峰的孩子们开始失踪时，似乎万念俱灰，大多数孩子...,连载中,第5话 ,https://www.dm5.com/manhua-youshenmezaishasihaizimen/
34,伊索拉,image ,https://mhfm1tel.cdndm5.com/56/55888/20191216094019_180x240_19.jpg,马尔的皇后中了邪恶的诅咒，化身为一只老虎。战争即将来临...,连载中,第4话 ,https://www.dm5.com/manhua-yisuola/
35,夜翼v4,DC Comics ,https://mhfm2tel.cdndm5.com/32/31241/20180901113024_180x240_25.jpg,离开旋中谍后，迪克回到哥谭处理了一系列相关的事务，比如...,连载中,第66话 ,https://www.dm5.com/manhua-yeyi-v-4/
36,最后之神,DC Comics ,https://mhfm6tel.cdndm5.com/55/54468/20191031202014_180x240_15.jpg,欢迎来到DC为我们带来的全新魔幻世界——凯恩·阿努，三十年...,连载中,第4话 ,https://www.dm5.com/manhua-zuihouzhishen/
37,古墓丽影：劳拉与冰封预言,Dark Horse Comics  ,https://mhfm5tel.cdndm5.com/58/57383/20200207104058_180x240_23.jpg,古墓丽影重置后，在“古墓”、“劳拉”两个品牌分离发展方...,连载中,第5话 ,https://www.dm5.com/manhua-gumuliying-laolayubingfengyuyan/
38,红头罩与法外者：重生,DC Comics ,https://mhfm6tel.cdndm5.com/32/31404/20160813112336_180x240_24.jpg,红头罩与法外者v2漫画 ，我想杀了黑面具吗？当然！但我向布...,连载中,第40话 ,https://www.dm5.com/manhua-hongtouzhaoyufawaizhe-chongsheng/
39,Creepypasta Cafe,Alloween ,https://mhfm5tel.cdndm5.com/40/39055/20171025155952_180x240_20.jpg,"欢迎来到 Creepypasta咖啡厅。
在这你能够做任何事情。
...",连载中,第19话 ,https://www.dm5.com/manhua-creepypasta-cafe/
40,暮狼罗根,Marvel Comics  ,https://mhfm7tel.cdndm5.com/22/21812/20190609135727_180x240_19.jpg,剧情延续《暮狼寻乡》以及《秘密战争-暮狼寻乡》，讲述老狼...,连载中,第36话 ,https://www.dm5.com/manhua-mulangluogen/
